X,EFiRAP,Multi-R,Sophon
0,14,6.0,5
1,25,14.5,5
2,31,15.999999979723995,15
3,31,19.49999997972401,16
4,32,20.499999881349872,18
5,37,25.499999801786167,23
6,37,27.99999958352621,30
7,37,26.49999956891584,24
8,37,23.49999944927832,38
9,43,30.49999953185244,31
10,44,32.499999069948295,38
11,44,32.4999989582174,31
12,44,32.499998808565046,41
13,43,32.49999868434766,40
14,45,35.49999864133911,49
15,47,36.99999877106456,45
16,49,41.499998378164,58
17,48,41.249998491016704,54
18,53,45.49999756747795,58
19,53,45.499997313726325,68
20,53,43.74999785611413,65
21,55,44.99999812313607,61
22,54,45.49999768576004,71
23,52,45.33333092380548,70
24,53,45.49999646939338,72
25,51,45.49999627686356,64
26,53,43.74999691256419,73
27,54,43.749996746732336,69
28,53,43.74999655478561,72
29,53,44.24999695043414,83
30,55,44.24999684977574,77
31,49,45.49999489151821,75
32,55,43.49999517465768,78
33,55,43.99999416014992,73
34,52,43.49999394655445,66
35,57,47.24999627049495,74
36,60,48.24999480035893,69
37,60,51.24999542628288,71
38,60,49.749994799526135,79
39,60,49.99999309537986,72
40,62,51.99999393110495,81
41,60,52.2499945290315,70
42,61,53.49999386245669,87
43,61,53.49999347997972,86
44,61,52.74999389522688,75
45,61,52.66665956367548,78
46,61,50.74999094120376,89
47,61,51.999993101077166,78
48,61,51.74999526982703,78
49,60,51.74999524818118,90
50,61,51.66666220172117,78
51,61,51.74999502186319,84
52,62,51.74999491454841,91
53,61,51.74999487626593,82
54,60,52.24998967775781,78
55,61,50.74998865923246,76
56,61,50.74998833784551,80
57,60,51.99999407732543,91
58,62,50.2499944462439,96
59,60,51.749995860861446,91
60,61,53.99998869090227,77
61,61,52.999992377477895,86
62,62,54.7499940181126,88
63,61,53.49999094635703,86
64,62,52.49999560214961,91
65,61,53.24999375831921,80
66,59,50.74998622786018,80
67,57,52.749993812788176,87
68,60,53.74998628120876,79
69,63,52.74999372044161,92
70,62,53.99998713183072,86
71,60,53.999982713414425,78
72,61,52.24998662080162,89
73,61,53.99998226794918,88
74,64,54.74998863409287,88
75,63,54.99998282877165,93
76,64,54.74998838135984,90
77,64,53.99998559573895,97
78,65,56.99998114552383,91
79,64,55.49998233481108,88
80,64,55.49998217241304,82
81,64,56.99998062845172,88
82,63,56.999980274734966,95
83,63,55.49998137724057,88
84,62,55.49998108190688,90
85,66,55.499980813703885,87
86,65,56.99997919204103,81
87,65,56.99997886220898,88
88,65,56.99997858902215,84
89,66,53.99998310365254,91
90,65,56.99997822478373,101
91,65,56.999978023382525,88
92,65,56.99997784041018,91
93,65,56.99997757583725,96
94,65,56.99997717575441,93
95,62,56.99997715289504,95
96,64,56.99997684822556,100
97,65,56.99997679822667,91
98,62,56.99997654152151,99
99,67,59.999976480155,92
100,69,59.999975948304,88
101,69,59.99997546207382,86
102,67,58.499981893383634,101
103,67,59.99997480078639,82
104,67,58.499977476730734,97
105,68,57.99998358655719,99
106,66,59.99997427297279,83
107,67,59.999973956739936,93
108,68,57.4999798125648,93
109,66,59.74998162202613,91
110,66,59.2499783518153,95
111,66,57.49998377077762,92
112,69,57.49997930871953,99
113,66,57.24997450347003,87
114,68,59.49997401180927,95
115,67,59.499973786974266,89
116,65,59.49997343904765,93
117,67,59.24997525052183,95
118,68,59.9999749211817,93
119,68,58.99997331538481,93
120,66,59.999971106356085,97
121,69,62.99997083859901,93
122,69,60.49997995153029,92
123,70,60.7499791241233,92
124,68,55.499985830130456,105
125,70,55.49998569126856,92
126,69,59.4999794390754,92
127,70,58.74998169707001,95
128,70,62.49997284901171,97
129,70,61.49997717480632,79
130,70,63.74997455563613,101
131,71,63.74997419253788,97
132,69,63.749973887822,94
133,68,62.499978292842144,103
134,72,59.49997986443158,97
135,69,62.99997094217743,108
136,70,60.74997466967272,109
137,70,62.24997468039753,101
138,69,60.24997699820641,94
139,68,61.49997442473946,99
140,69,61.24997589828733,82
141,69,61.24997564084984,92
142,69,61.49997403885746,90
143,72,61.49997402286627,99
144,70,64.2499727023855,106
145,71,62.999968883505375,99
146,69,60.49998085209077,110
147,71,61.33330587419938,98
148,69,64.49997303665194,86
149,68,61.749969999499655,98
150,72,62.24997011571175,100
151,70,62.249969863082896,89
152,70,62.24996958948894,106
153,72,62.99996718950996,104
154,68,62.99996649466705,98
155,70,62.99996630979108,100
156,72,62.874967296870935,100
