communication_threshold,completed_request_num
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,2
8,2
9,3
10,4
11,5
12,7
13,8
14,9
15,11
16,11
17,13
18,17
19,18
20,19
21,20
22,27
23,29
24,32
25,33
26,37
27,40
28,43
29,43
30,45
31,47
32,51
33,54
34,59
35,61
36,65
37,66
38,69
39,74
40,76
41,82
42,86
43,91
44,96
45,102
46,107
47,111
48,113
49,115
50,121
51,124
52,128
53,130
54,135
55,139
56,140
57,142
58,147
59,151
60,154
61,160
62,162
63,164
64,167
65,168
66,168
67,170
68,171
69,175
70,175
71,177
72,177
73,178
74,180
75,180
76,181
77,182
78,184
79,184
80,188
81,188
82,191
83,194
84,194
85,196
86,196
87,196
88,198
89,199
90,199
91,199
92,200
93,200
94,200
95,200
96,200
97,200
98,200
99,200
