communication_threshold,completed_request_num
0.0,0
0.045,1
0.09,4
0.135,7
0.18,7
0.225,11
0.27,13
0.315,15
0.36,17
0.405,14
0.45,22
0.495,24
0.54,24
0.585,25
0.63,29
0.675,31
0.72,33
0.765,35
0.81,30
0.855,35
0.9,42
0.9450000000000001,44
0.99,43
1.035,43
1.08,43
1.125,38
1.17,55
1.215,60
1.26,55
1.305,63
1.35,53
1.395,64
1.44,59
1.485,67
1.53,71
1.575,72
1.62,80
1.665,73
1.71,81
1.7550000000000001,79
1.8,83
1.845,91
1.8900000000000001,82
1.935,80
1.98,85
2.025,92
2.07,83
2.115,97
2.16,94
2.205,96
2.25,105
2.295,91
2.34,101
2.3850000000000002,108
2.43,112
2.475,108
2.52,118
2.565,113
2.61,118
2.6550000000000002,124
2.7,127
2.745,124
2.79,131
2.835,126
2.88,134
2.9250000000000003,129
2.97,139
3.015,126
3.06,134
3.105,139
3.15,143
3.1950000000000003,147
3.24,147
3.285,145
3.33,138
3.375,136
3.42,150
3.465,156
3.5100000000000002,166
3.555,168
3.6,169
3.645,162
3.69,168
3.735,158
3.7800000000000002,160
3.825,162
3.87,187
3.915,172
3.96,165
4.005,173
4.05,175
4.095,176
4.14,192
4.1850000000000005,187
4.23,192
4.275,171
4.32,178
4.365,200
4.41,200
4.455,195
