EFiRAP,Multi_R,SophonFixed,SophonFlexible
0.584849834,0.212852275,0.045573015,0.010999918
0.603558064,0.249839573,0.034999886,0.012028933
0.624624014,0.260043271,0.055096912,0.015031099
0.639189005,0.294374526,0.07994184,0.021031141
0.658952951,0.3157273,0.097007799,0.025969982
0.685281038,0.320013225,0.127037096,0.029996872
0.696619987,0.362494853,0.158001947,0.036999941
0.72601819,0.409092023,0.237999964,0.042999983
0.743093014,0.445044473,0.254507837,0.044000864
0.756181002,0.465638055,0.289051104,0.05203104
0.77306819,0.510233827,0.377029982,0.055032015
