pre,post,width
0,52,4
0,39,3
0,50,4
0,33,3
0,36,6
1,8,4
1,11,5
2,6,3
2,8,4
2,43,6
3,51,5
3,21,4
3,35,4
4,17,4
4,44,6
5,20,5
5,27,4
6,43,5
6,4,5
6,42,4
6,32,5
7,29,4
7,46,4
8,11,4
8,32,6
8,43,6
9,47,3
9,29,6
9,46,6
9,7,6
9,21,6
10,28,5
10,14,5
10,39,4
10,47,6
10,16,3
11,30,4
11,13,6
12,37,3
12,31,3
13,19,3
13,30,3
13,37,3
13,12,5
14,47,5
15,7,4
15,22,6
15,46,5
15,29,6
15,24,6
16,28,4
16,39,6
17,27,6
18,45,3
18,16,6
18,28,4
18,20,6
19,35,6
19,37,3
20,52,5
20,45,6
20,27,5
20,36,3
21,51,4
21,29,4
21,22,5
22,7,6
22,51,3
22,24,3
22,29,4
23,26,3
23,49,5
23,41,6
24,51,5
24,38,6
24,35,4
24,53,6
25,33,3
25,47,6
25,14,6
25,0,4
25,34,5
26,41,3
27,48,4
27,36,4
28,39,3
28,14,4
30,41,3
31,50,5
31,36,3
32,43,6
32,40,6
32,12,3
33,34,4
33,50,3
34,37,6
34,50,4
34,12,5
34,3,6
36,50,4
38,53,6
40,31,5
40,43,5
40,12,5
41,53,6
42,44,6
42,4,5
43,4,5
44,17,5
44,48,6
45,52,4
46,29,4
48,5,6
48,17,5
49,41,4
49,26,4
49,53,6
52,36,3
53,35,3
53,19,5
