node1,node2,length
1,36,7.222971805456959
1,55,8.348061477514728
2,8,3.361794064657058
2,20,2.316993658750269
2,21,5.934195541494111
2,57,6.422741429181046
3,27,5.224684472804314
3,46,9.468004933252615
4,19,8.900443798152455
4,25,1.6428691953726227
4,27,4.825105768981232
5,39,5.424117162636327
5,51,1.5755158086162462
6,17,7.5561269513633835
6,35,10.938149555690513
6,48,2.4714085968071613
6,60,4.063829075490634
7,29,2.2022321558829625
7,57,4.824964541089719
8,10,8.183878581123691
9,12,3.82398341427306
9,18,5.4137901327081455
9,54,3.3909460096090083
10,16,3.469217968239946
10,35,10.837164886899242
10,38,4.732580222692209
10,48,4.564784186959057
10,60,2.6114544580739425
11,15,6.841075605480759
11,18,4.072669134837289
11,52,4.642656021311651
11,59,7.554344467284977
12,33,2.4583436387259217
12,37,2.9056574315952406
12,39,6.477816118425732
13,19,7.639356524610123
13,26,2.5486672501455776
13,44,8.425076098326413
14,26,1.083018460881768
14,27,3.3514356304827784
15,35,10.427667905329127
15,38,4.377358482409818
15,60,2.606557960167322
16,35,10.005225118029854
16,49,9.33208134044473
17,54,3.932436490342905
18,25,1.6621624110607514
19,23,5.163527862121045
19,45,7.543457723104233
20,32,3.0949102570496327
20,45,7.32962180417599
21,44,6.348679417351537
21,52,2.865379594499145
22,41,5.222179852736725
22,45,9.172922360993855
22,47,8.860550252263213
23,37,2.0540984314903445
23,42,6.452288185300863
23,53,3.235344754706675
26,59,8.644410143462387
27,49,6.910919962065058
27,56,5.464414424059304
28,30,9.750664959998913
28,62,6.790365492976842
29,62,7.325474905060655
30,40,11.352443427450572
30,43,3.937245940871074
30,56,8.263855007845217
31,47,5.611790189606029
31,61,7.035475918799223
31,63,4.324642312802501
32,37,2.3860904136897303
32,39,5.346801539047658
33,47,6.496300089889594
33,63,5.138544802015221
35,50,5.315262527796856
35,62,8.813451549050217
36,42,7.622405586537157
37,42,8.105022212198062
37,53,4.773671065114365
37,61,8.161197266703212
40,45,9.802288021007163
40,47,8.036760459432662
41,61,7.084427883855552
45,50,4.358599685408679
45,58,1.2456743772362395
45,59,10.039764028223276
47,60,4.8274634253484
49,55,7.902189873872806
49,58,2.1611003414928995
50,52,3.046233277850528
53,57,3.821588437736002
57,59,9.739086499832672
60,63,3.6274932677835827
