node1,node2,length
1,12,6.881732859239023
2,15,3.6764683680286847
2,20,5.205726615866154
3,10,2.2159441474936283
3,19,7.027876484465991
3,25,4.929802940896235
4,6,3.0857618098469866
4,13,5.73672676189875
5,10,3.1023368541987746
5,13,4.8616472793803425
5,27,2.709709599956239
6,9,4.672298604383816
6,12,2.003295490796444
6,13,4.540302470571622
6,21,5.560147937975585
6,26,3.8403930540417868
7,16,2.5267868755464042
7,17,4.684480480955948
7,23,8.040013789293406
8,12,2.573198426058605
8,21,4.911598392044805
8,25,2.514920158389548
8,26,3.8460228234283096
9,11,5.14292720748916
9,18,2.6617833729339404
9,22,5.7351152360896664
10,18,2.5972852515539815
10,19,8.83311719601368
10,22,6.611926719679422
11,14,6.191447974979529
11,21,6.1945770281700465
12,21,4.005584292965317
12,26,1.9292844992505043
12,27,3.0535256814946803
14,20,6.967752878906274
15,17,6.516663302632042
15,26,4.810148955373885
16,26,4.5817463358077095
17,22,4.6778727783664165
18,25,6.4213611389362395
19,24,5.797408157959364
19,26,6.507749567679969
20,25,1.8627981501665911
21,27,3.455876306741608
