0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-805,-962,-969,-750,-38,-84,-133,-700,-616,-623,355,-369,-265,-611,-795,-350,-1026,-292
-1118,-723,-920,-798,-68,-275,-43,-391,-177,-551,0,-251,-146,-636,-758,-641,-1056,-347
-975,-601,-1087,-878,-98,-301,-54,-657,-327,-409,243,-187,-370,-699,-876,-790,-999,-184
-792,-643,-970,-644,87,-10,67,-509,-580,-444,201,-348,-82,-655,-759,-367,-1053,-202
-846,-622,-1042,-832,-36,-131,-83,-378,-288,-557,-101,-214,-356,-727,-862,-419,-949,-142
-859,-513,-1000,-629,-142,-436,-172,-561,-378,-632,-29,-91,-167,-593,-947,-135,-749,-67
-711,-816,-1008,-603,44,-201,153,-674,-657,-712,190,-207,-327,-610,-825,-108,-966,-54
-1044,-806,-1068,-663,-226,-307,-65,-501,-395,-494,-67,-292,-161,-605,-832,-179,-993,-194
-1109,-905,-1151,-931,-389,-500,-236,-630,-508,-609,222,-313,-407,-655,-992,-658,-1172,-157
-922,-750,-1074,-1083,-126,12,-107,-727,-750,-590,59,-158,-320,-631,-875,-389,-1163,-250
-884,-753,-1124,-742,-533,-608,-377,-720,-331,-566,49,148,-271,-573,-879,-625,-1056,-210
-676,-518,-1188,-576,-25,-162,-151,-462,-46,-232,161,-127,-83,-704,-755,-488,-1017,-56
-1108,-1018,-1092,-921,-233,-511,-282,-586,-589,-688,-209,-394,-687,-753,-896,-623,-1100,-292
-965,-715,-820,-575,66,-244,-305,-498,-406,-536,181,-80,-370,-656,-644,-458,-1256,-263
-940,-597,-1250,-981,-135,-367,-127,-430,-236,-438,-22,-58,-62,-832,-958,-427,-1124,-81
-934,-530,-1093,-846,18,-171,-356,-522,-465,-438,55,-174,-313,-545,-793,-315,-892,60
-913,-635,-1246,-819,22,-381,-182,-648,-413,-530,439,-232,-374,-789,-886,-579,-1300,-45
-1041,-819,-1152,-1015,-81,-135,-252,-636,-637,-411,31,-100,-37,-586,-901,-293,-1038,-123
-763,-601,-1035,-696,-45,-188,-185,-383,-278,-508,206,-463,-205,-685,-811,-524,-872,-240
-1069,-969,-1129,-937,-228,-452,-293,-538,-653,-595,-112,-226,-440,-751,-738,-521,-1111,-23
-833,-428,-944,-629,-328,-232,-183,-387,54,-451,63,-218,14,-515,-699,-258,-1053,-52
-843,-424,-980,-692,44,-86,-126,-315,-158,-560,202,-248,-358,-651,-614,-260,-979,-354
-964,-712,-1002,-855,-194,-412,-96,-243,-619,-716,9,-259,-121,-720,-795,-713,-1046,-286
-963,-731,-1166,-886,-184,-131,-169,-630,-588,-525,-97,-299,-426,-767,-868,-405,-989,-181
-1023,-698,-973,-887,-348,-290,-242,-467,-490,-771,165,-166,-243,-741,-753,-574,-933,-259
-1021,-947,-1179,-1147,-205,-342,-73,-731,-543,-802,515,-381,-339,-845,-1111,-536,-1315,-169
-863,-715,-827,-885,134,-130,-199,-541,-181,-473,189,-349,-559,-381,-874,-619,-1094,-131
-723,-535,-1013,-506,17,151,-85,-297,-161,-373,144,-425,-318,-579,-759,-799,-873,-184
-938,-787,-960,-588,-123,-298,-429,-396,-311,-446,-96,-202,-206,-560,-879,-476,-980,-193
-783,-651,-807,-344,-90,-99,-104,-568,-338,-348,39,-364,-186,-502,-760,-256,-848,-274
-967,-697,-1069,-845,-119,-416,-298,-402,-561,-629,-28,-261,-171,-741,-835,-703,-1111,-179
-1328,-829,-1257,-842,67,-353,-317,-709,-437,-647,18,-397,-263,-1027,-1187,-753,-1476,-175
-911,-704,-1070,-742,-123,-176,-173,-293,-315,-486,-112,-378,-307,-559,-989,-594,-1157,-130
-818,-655,-978,-569,-299,-463,-234,-436,-265,-457,154,-213,-245,-708,-765,-524,-898,-435
-840,-612,-831,-901,-266,-243,-275,-381,-145,-509,219,-305,-444,-632,-750,-136,-924,-210
-826,-597,-1034,-649,83,-158,-101,-592,-373,-419,148,-268,-327,-463,-766,-308,-1032,-186
-781,-338,-838,-670,-87,-114,-201,-319,-108,-531,71,-367,-391,-485,-707,-346,-976,-27
-973,-483,-1156,-686,-167,-93,-224,-319,-559,-635,-84,-150,-599,-616,-815,-417,-1014,-39
-958,-643,-1019,-764,-169,-351,-173,-592,-458,-732,223,-343,-313,-563,-924,-522,-1005,-122
-899,-585,-941,-814,55,-187,-141,-423,-573,-500,53,-420,-205,-583,-845,-323,-1126,-190
-941,-751,-807,-661,-121,-300,-95,-551,-28,-417,-45,-239,-284,-615,-778,-574,-1008,-180
-910,-874,-1024,-745,114,-194,-115,-668,-227,-518,182,-282,-274,-346,-954,-602,-1016,-417
-868,-469,-949,-738,19,-267,-9,-246,-267,-723,59,-335,-246,-473,-803,-430,-959,-262
-817,-567,-917,-432,-33,-412,-240,-484,-62,-244,-40,-294,-241,-452,-879,-558,-889,-205
-939,-776,-1026,-899,41,-373,-241,-541,-576,-557,-50,-127,-485,-682,-806,-727,-1134,-177
-864,-723,-1123,-915,123,-271,-57,-589,-577,-725,120,-419,-279,-573,-864,-454,-1043,-256
-1031,-818,-1347,-826,-17,-81,129,-887,-746,-728,452,-411,-468,-686,-882,-639,-1334,-308
-1151,-637,-1269,-727,86,-387,-81,-781,-575,-596,363,-318,-356,-939,-992,-270,-1381,-227
-904,-711,-1054,-981,-183,-268,-394,-606,-582,-502,-129,-325,-471,-716,-855,-613,-1039,-299
-864,-711,-1025,-717,-405,-254,-361,-510,-255,-554,24,-96,-216,-611,-808,-127,-958,-203
-1029,-870,-1034,-954,-233,-430,-345,-746,-701,-768,232,10,-410,-708,-789,-422,-889,-206
-808,-512,-898,-646,153,-231,-38,-408,-103,-501,-52,-383,-427,-474,-712,-406,-889,129
-872,-634,-951,-887,-30,-58,-30,-459,-207,-267,171,-286,-189,-315,-834,-480,-1102,-41
