0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-565,-206,-489,-45,-16,-29,62,-10,-257,-356,-234,-568,-47,-378,-460,-296,-565,-461
-562,-216,-513,14,526,154,213,-289,-304,-303,-180,-593,-46,-162,-397,-378,-588,-611
-480,-284,-428,-219,217,2,72,-164,-331,-330,-260,-539,-273,-271,-375,-439,-572,-490
-579,-218,-564,-90,118,337,221,-161,-317,-347,-145,-617,9,-27,-360,-288,-449,-564
-641,-159,-503,-205,448,116,150,46,-350,-344,-327,-560,-183,-161,-279,-264,-596,-740
-750,-530,-673,-284,205,61,189,-301,-420,-403,-284,-650,-201,-176,-426,-463,-719,-646
-500,-95,-453,-155,461,269,323,-104,-277,-374,-195,-599,-19,-247,-380,-312,-440,-644
-525,-135,-505,-16,575,277,197,-41,-410,-424,-280,-653,-229,-271,-282,-307,-565,-453
-445,86,-443,-19,376,269,84,12,-323,-359,-269,-523,-357,-341,-352,-362,-530,-480
-500,-159,-524,-324,495,378,305,-105,-415,-409,-330,-616,-77,-143,-323,-387,-639,-577
-497,-220,-446,-74,562,114,256,-271,-403,-420,-93,-513,-7,-274,-364,-344,-580,-641
-428,-163,-652,-346,450,215,273,-108,-411,-424,-277,-620,-61,-235,-365,-455,-610,-619
-633,-325,-532,-220,395,33,194,-294,-530,-468,-288,-675,-133,-254,-364,-477,-689,-607
-620,-370,-502,43,-5,-66,5,-378,-451,-422,-106,-632,-52,-293,-540,-347,-714,-652
-668,-471,-534,-150,326,-159,100,-106,-369,-383,-150,-524,-186,-410,-486,-366,-661,-569
-578,-193,-411,18,430,74,125,49,-350,-279,53,-557,117,-336,-399,-332,-561,-574
-659,-287,-565,-411,541,120,240,20,-388,-469,-200,-626,-23,-322,-411,-402,-675,-451
-547,-193,-552,-157,286,226,187,-335,-402,-423,-330,-586,-123,-150,-345,-441,-607,-496
-567,-179,-558,-186,526,15,162,16,-286,-269,-174,-613,-190,-351,-287,-359,-600,-351
-640,-195,-539,-121,98,91,238,-90,-381,-345,-97,-632,46,-419,-424,-322,-624,-660
-599,-523,-545,-138,179,110,193,-440,-582,-409,-336,-638,-54,-194,-394,-429,-634,-602
-669,-326,-611,-358,141,187,221,-174,-283,-383,20,-654,163,-317,-440,-421,-667,-615
-706,-370,-544,-424,89,139,169,-103,-411,-374,-167,-596,87,-243,-478,-450,-641,-649
-657,-130,-479,-350,646,307,481,-167,-361,-455,-242,-666,-29,-289,-344,-327,-506,-570
-579,-131,-560,-174,291,95,101,-64,-273,-309,-2,-559,-56,-189,-509,-390,-536,-606
-614,-159,-478,-303,194,23,156,-13,-389,-320,-284,-597,-233,-278,-481,-325,-503,-549
-470,-240,-597,-88,587,260,302,-101,-447,-300,-105,-589,-21,-258,-411,-327,-484,-535
-527,-213,-560,-77,386,84,123,-69,-318,-304,-288,-597,-97,-189,-544,-349,-642,-566
-533,-91,-517,-165,461,89,209,-168,-387,-261,-184,-514,-195,-257,-412,-380,-472,-483
-621,-287,-506,-235,284,-42,38,193,-273,-230,-95,-651,-21,-307,-390,-416,-738,-573
-539,-236,-498,-106,261,252,250,-163,-277,-365,-193,-582,53,-181,-268,-284,-632,-510
-522,-88,-456,-60,410,133,171,62,-305,-232,-171,-541,-190,-201,-310,-363,-590,-413
-690,-298,-572,-139,97,11,121,-175,-443,-466,-116,-594,-29,-202,-480,-338,-753,-590
-668,-420,-570,-212,260,42,100,-77,-373,-369,-226,-648,-94,-265,-398,-426,-655,-584
-619,-388,-726,-76,145,-2,256,-81,-417,-356,-187,-677,-11,-256,-549,-436,-600,-746
-574,-197,-529,-69,229,96,178,-267,-305,-376,-278,-652,-49,-256,-408,-413,-534,-556
-549,-161,-533,-100,87,30,102,-97,-377,-371,-38,-627,-20,-269,-523,-428,-642,-633
-600,-331,-623,-238,380,186,238,-204,-464,-466,-109,-535,-184,-152,-410,-294,-623,-592
-710,-201,-581,-426,303,147,127,-209,-398,-481,14,-676,-41,-517,-454,-382,-749,-675
-573,-302,-643,-229,261,202,156,-143,-213,-320,-110,-607,-111,-210,-384,-374,-644,-616
-643,-186,-492,-158,643,144,266,-62,-137,-226,-173,-631,-86,-290,-423,-363,-622,-600
-633,-212,-502,-284,275,185,217,-68,-401,-397,-297,-711,-50,-191,-377,-389,-641,-606
-551,-56,-447,-218,397,152,54,-123,-250,-260,-333,-624,-220,-293,-252,-363,-585,-499
-682,-173,-603,-266,535,170,153,-37,-464,-340,-243,-611,-80,-246,-340,-382,-544,-523
-613,-109,-578,-55,362,83,136,-99,-232,-261,-159,-608,47,-335,-393,-326,-613,-583
-665,-148,-468,-118,268,51,138,-233,-328,-266,-114,-534,-116,-340,-465,-330,-607,-625
-590,-367,-422,-91,318,135,175,-125,-338,-296,-126,-525,42,-87,-494,-298,-580,-631
-453,-178,-532,-72,327,276,138,-13,-294,-337,-223,-606,-16,-149,-361,-284,-570,-535
-651,-185,-628,-224,535,-47,30,-192,-297,-295,-19,-654,61,-215,-317,-410,-674,-544
-550,-207,-477,-162,452,43,174,-83,-305,-109,-201,-533,-133,-363,-495,-401,-538,-472
-590,-282,-516,-33,45,95,159,-194,-257,-316,-291,-602,-74,-219,-513,-270,-651,-620
-608,-119,-512,-60,343,77,183,-108,-422,-260,-153,-546,-85,-273,-382,-368,-540,-567
-563,-243,-593,-256,55,261,129,-59,-254,-313,-201,-559,139,-264,-347,-441,-565,-549
-571,-141,-672,-95,303,268,318,-206,-293,-382,77,-601,16,-234,-373,-360,-652,-647
-599,-288,-549,-39,112,41,127,-248,-309,-279,-133,-582,-134,-325,-370,-323,-563,-503
-608,-191,-449,-101,505,465,233,-74,-385,-266,-276,-525,29,-141,-307,-444,-652,-551
-639,-332,-513,-331,342,-7,121,-194,-448,-447,-284,-544,-55,-276,-502,-382,-600,-657
-609,-67,-487,-92,505,99,112,-68,-300,-314,-129,-582,-34,-270,-353,-254,-562,-546
-585,-286,-559,-83,360,26,112,-81,-437,-328,-320,-627,-85,-243,-449,-304,-605,-561
-660,-227,-562,-280,717,201,233,-83,-386,-391,-219,-528,-116,-163,-323,-296,-642,-588
-636,-140,-636,-284,414,114,159,-244,-351,-395,-304,-606,44,-240,-458,-314,-657,-674
-786,-435,-694,-295,-157,-93,-37,-271,-379,-311,-213,-663,37,-375,-573,-443,-670,-665
-577,-234,-591,-305,524,2,97,-191,-345,-380,-252,-581,-32,-358,-288,-383,-607,-445
-714,-361,-579,-239,326,134,217,-257,-387,-456,-64,-695,56,-90,-538,-433,-680,-582
-650,-206,-626,-269,266,108,-30,-230,-522,-338,18,-633,35,-320,-546,-434,-712,-701
-673,-217,-495,-161,274,119,128,-67,-341,-353,-130,-569,-98,-323,-546,-327,-579,-613
-660,-305,-557,-167,214,42,185,-325,-387,-306,-122,-672,82,-354,-374,-319,-558,-678
-645,-138,-588,-10,195,164,153,-47,-212,-337,-160,-574,136,-296,-519,-364,-639,-571
-714,-271,-535,-352,13,112,-4,-185,-348,-409,-396,-476,6,-264,-512,-428,-626,-526
-629,-282,-456,123,267,227,203,-264,-295,-261,-109,-583,127,-104,-215,-257,-667,-654
-733,-376,-563,-79,35,-41,157,-192,-310,-283,-212,-647,-34,-253,-455,-483,-617,-621
-654,-172,-484,-321,426,203,211,-250,-435,-357,-345,-685,3,-149,-485,-412,-581,-620
-660,-179,-496,-148,303,112,-4,-35,-377,-330,-306,-603,-97,-296,-462,-401,-547,-571
-566,-158,-468,-181,222,92,196,-196,-335,-298,-58,-614,216,-206,-479,-319,-490,-526
-559,-171,-554,-190,435,242,125,-64,-347,-373,-129,-534,-98,-135,-435,-359,-508,-556
-548,-399,-426,-187,450,166,322,-232,-483,-444,-211,-523,61,-77,-391,-409,-569,-541
-555,-235,-555,-24,360,237,337,-60,-350,-242,-126,-616,30,-239,-354,-386,-515,-577
-658,-98,-511,-143,266,149,148,-220,-496,-340,-129,-536,-48,-363,-340,-392,-542,-564
-549,-184,-648,-80,305,247,312,-129,-362,-420,21,-611,-6,-164,-355,-353,-758,-549
-580,-237,-495,-35,454,147,235,70,-274,-294,-359,-578,-226,-175,-328,-306,-464,-428
-641,-269,-598,-157,488,201,225,-192,-275,-311,-131,-598,52,-287,-334,-388,-582,-632
-639,-178,-536,-143,391,259,280,-133,-331,-364,-255,-631,-75,-69,-334,-393,-588,-598
-525,-277,-459,-208,329,189,250,-47,-414,-333,-262,-571,82,-405,-405,-377,-496,-592
-608,-321,-523,-94,184,232,300,-57,-351,-304,-237,-682,271,-207,-516,-337,-572,-623
-651,-358,-602,-121,137,4,176,-109,-391,-438,-24,-676,50,-130,-554,-402,-644,-643
-563,-188,-511,-120,343,106,267,-21,-370,-280,-215,-570,103,-210,-374,-354,-555,-587
-615,-366,-552,-211,77,-74,81,-199,-450,-326,-115,-650,11,-281,-424,-399,-509,-537
-668,-344,-536,-271,329,68,186,-230,-412,-462,-274,-709,25,-133,-376,-363,-653,-576
-667,-48,-554,-169,271,237,122,-221,-452,-461,-239,-655,30,-201,-493,-447,-640,-535
-781,-75,-669,-208,397,220,10,-108,-349,-337,-231,-590,-31,-125,-421,-411,-598,-689
-709,-329,-522,-286,203,-17,153,-167,-333,-413,-114,-599,-100,-327,-526,-468,-633,-610
-639,-189,-492,-213,344,70,70,-272,-330,-315,-392,-594,-16,-155,-404,-385,-561,-647
-407,-230,-546,-332,570,-42,90,56,-276,-455,-208,-541,-290,-410,-322,-378,-458,-528
-352,-76,-430,-4,810,24,83,-75,-224,-257,-191,-521,-88,-202,-267,-312,-379,-462
