0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
-5592,-5262,-5637,-5134,-5132,-5397,-4331,-4886,-4373,-5745,-5619,-5489,-2951,-5492,-5238,-5305,-5461,-5474,-4885,-5716,-5615,-5073,-5646,-5329,-5017,-4667,-5640,-3844,-5745,-5901,-4889,-5104,-5404,-5176,-5250,-4591,-5050,-5489,-5150,-1486,-3877,-5619,-5607,-5535,-2099,-5705,-5262,-5682,-5512,-5495,-5617,-5572,-5669,-5622,-5267,-2783,-4736,-5676,-4816,-5712,-4501,-5494,-1924,-5538,-5449,-5207,-5552,-5236,-5180,-5624,-5283,-3778,-4694,-5402,-5125,-3801,-5702,-3317,-4680,-4140,-5775,-5224,-5371,-5506,-5756,-5828,-5161,-5017,-5568,-4605,-4668,-5559,-5529,-5544,-5999,-5074,-4722,-5001,-5602,-3481,-5048,-4139,-5106,-2193,-5650,-4997,-5152,-5749
-6491,-6398,-6078,-6004,-4907,-6275,-4754,-5542,-5100,-6045,-5858,-6327,-3711,-5381,-5701,-5662,-5811,-5964,-5184,-6272,-6367,-5119,-5837,-5695,-5847,-5393,-6298,-4754,-6148,-6424,-6233,-5858,-5627,-6062,-5353,-5121,-5325,-6339,-6270,-3600,-4544,-6381,-5672,-5858,-2686,-6258,-6059,-6395,-6460,-6271,-6103,-5690,-6185,-5979,-5389,-3986,-4930,-6326,-5138,-6296,-5158,-6482,-3451,-6496,-6173,-5418,-6210,-6358,-5671,-5966,-5652,-5129,-4872,-6139,-5794,-3878,-5993,-3602,-5160,-4920,-5978,-5667,-5702,-6391,-5717,-6132,-5938,-5731,-5792,-4950,-5915,-6027,-6366,-6284,-6166,-5555,-5473,-4868,-5827,-4029,-5530,-4141,-5355,-2545,-5464,-5806,-5236,-6201
-4305,-4316,-4228,-3636,-4064,-4828,-3328,-3793,-3687,-4239,-4446,-4282,-2586,-4117,-4202,-4059,-4003,-4469,-3969,-4244,-4512,-3566,-4516,-4350,-4476,-4039,-4282,-3913,-4715,-4426,-4156,-4133,-4178,-4423,-4043,-3976,-4102,-4419,-4374,-2263,-3397,-4471,-4391,-3918,-1519,-4432,-4597,-4395,-4120,-4673,-4608,-4741,-4367,-4243,-3616,-3114,-3042,-4495,-3511,-4284,-3963,-4551,-2062,-4525,-4464,-3390,-4332,-4619,-4013,-4509,-3828,-3604,-3795,-4522,-4368,-3515,-4276,-2746,-3768,-3563,-4495,-4142,-4193,-4223,-4492,-4482,-4112,-4064,-4445,-3770,-4168,-4615,-4693,-4479,-4492,-3961,-3477,-4033,-4426,-2806,-3806,-3202,-3715,-2304,-4059,-4344,-3722,-4405
-7098,-6602,-6813,-6184,-5902,-6964,-5463,-6073,-6001,-6839,-6318,-6767,-4122,-6546,-6642,-6677,-5714,-6514,-6283,-7012,-6780,-6405,-6982,-6369,-6896,-6612,-6983,-5115,-6775,-6864,-6516,-6281,-5865,-6882,-6563,-5800,-6548,-6935,-6430,-3355,-5030,-6685,-6835,-6979,-2884,-6726,-6958,-6468,-6848,-7100,-7085,-7080,-6524,-6589,-5614,-3671,-5473,-6856,-6451,-7071,-6268,-6698,-2679,-7395,-6331,-5789,-6922,-6999,-6126,-7233,-6735,-5020,-5842,-6577,-6637,-5155,-6799,-5155,-4835,-5388,-6892,-6255,-6562,-7005,-6754,-6918,-6614,-6797,-6586,-5401,-6413,-6826,-7059,-6964,-7082,-6185,-5353,-6269,-6984,-5432,-6805,-5831,-5932,-3962,-6515,-6855,-5912,-6921
-6305,-5911,-6107,-5259,-4975,-6377,-4629,-5487,-4666,-5867,-6252,-6003,-3519,-5620,-5643,-5973,-5985,-6295,-4833,-6252,-5987,-5210,-5734,-5967,-6178,-5622,-6200,-4478,-6280,-6114,-5681,-5930,-6105,-5992,-5595,-4788,-5658,-6233,-6042,-2362,-4452,-6429,-6108,-5436,-2819,-6192,-6200,-5970,-5677,-6082,-6124,-6292,-5822,-5762,-4919,-3532,-4092,-6169,-4529,-5986,-5333,-6224,-2719,-5679,-6020,-5015,-6085,-6231,-5554,-6415,-5538,-4031,-4875,-6160,-5834,-4316,-6170,-3832,-4767,-4543,-6217,-5452,-5662,-6192,-5892,-6247,-6277,-5778,-5651,-4726,-5049,-6115,-6074,-6283,-6160,-5429,-5162,-5801,-6009,-4444,-5537,-3971,-4962,-2841,-5734,-6155,-4890,-6225
-4592,-4360,-4464,-4142,-4090,-4461,-3367,-4125,-3142,-4855,-4117,-4523,-2694,-4381,-4089,-4079,-4572,-4551,-4372,-4542,-4811,-3939,-4273,-4594,-4108,-3955,-4622,-3664,-4360,-4490,-4319,-4333,-4258,-4219,-4316,-3931,-4034,-4506,-4291,-2537,-3478,-4948,-4713,-4501,-2187,-4747,-4640,-4656,-4801,-4596,-4610,-4723,-4860,-4317,-4117,-3308,-3401,-4635,-3821,-4708,-3932,-4719,-2406,-4442,-4616,-4014,-4838,-4531,-4098,-4403,-4198,-3787,-4134,-4512,-4183,-3158,-4598,-2883,-4022,-3514,-4827,-3871,-4429,-4565,-4332,-4569,-4434,-4090,-4375,-3972,-4289,-4417,-4518,-4728,-4689,-4298,-3824,-3855,-4500,-2674,-4097,-3220,-3713,-2008,-4075,-4216,-4135,-4355
-5385,-5505,-5556,-5431,-5070,-6019,-4559,-4780,-4386,-5796,-5516,-5688,-3109,-5587,-4886,-5636,-5458,-5769,-4636,-6060,-5967,-5177,-5261,-5784,-6028,-5402,-5439,-4453,-6065,-6132,-5433,-5157,-5604,-5831,-5730,-4348,-5366,-6005,-5468,-1816,-4500,-6008,-5966,-5882,-1640,-5794,-5822,-5948,-6047,-6028,-5986,-5904,-6011,-5441,-4807,-3870,-4438,-5855,-5045,-6034,-5127,-5943,-1934,-5989,-5623,-4181,-6195,-6011,-5067,-5915,-5549,-3917,-4723,-5729,-5581,-4171,-5894,-3595,-4514,-4413,-5953,-4915,-5453,-6078,-5852,-5727,-5863,-5745,-4792,-4851,-5457,-5987,-5349,-5746,-5889,-5070,-4932,-4940,-6090,-4223,-5245,-4534,-4752,-2666,-5665,-5779,-5118,-5874
-5165,-5095,-5472,-5001,-4520,-5246,-4269,-4834,-4122,-5755,-5356,-5182,-2605,-5130,-4983,-5453,-5143,-5687,-5140,-5397,-5401,-5327,-5292,-5192,-4997,-5167,-5537,-3078,-5399,-5864,-5358,-5161,-5338,-5190,-4924,-4468,-4966,-5400,-5038,-2414,-3252,-5492,-5790,-5196,-1908,-5303,-5699,-5395,-5646,-5496,-5646,-5279,-5546,-5261,-4675,-2771,-4578,-5478,-4519,-5771,-5162,-5643,-2319,-5706,-4971,-4227,-5639,-5506,-5263,-5521,-4930,-3715,-4753,-5558,-5049,-4371,-5738,-3812,-4901,-3603,-5654,-5271,-5147,-5598,-5660,-5621,-5491,-5289,-5150,-4621,-4759,-5600,-5536,-5776,-5527,-4823,-4674,-4825,-5511,-3753,-5206,-4469,-5272,-2759,-5411,-5492,-4940,-5311
-5286,-4898,-5153,-5025,-4750,-5349,-3631,-4459,-3865,-5247,-5220,-4681,-2587,-4580,-4469,-4673,-5383,-5157,-3982,-4871,-5417,-3934,-4979,-4778,-4865,-4682,-4989,-3597,-5204,-5091,-4895,-4914,-5086,-5352,-4954,-4015,-4584,-5207,-4981,-2061,-4032,-5065,-5093,-4574,-2210,-5131,-5123,-5360,-5119,-5094,-5166,-5278,-5366,-5086,-4837,-3221,-3985,-5327,-4565,-5068,-4776,-5308,-2514,-5044,-4808,-4427,-5232,-5645,-4771,-5345,-4679,-3564,-4135,-5258,-4965,-3395,-5012,-2422,-4525,-3978,-5558,-4604,-5073,-5350,-5369,-5344,-5055,-5027,-4978,-4253,-4715,-5339,-5088,-5396,-4455,-4332,-4562,-4505,-5253,-3161,-4962,-3996,-4342,-1694,-4972,-5183,-4537,-5172
-5576,-5340,-5220,-4913,-4563,-5420,-4364,-4617,-4562,-5354,-5458,-5519,-2496,-4403,-4946,-4992,-4890,-5477,-4817,-5431,-5617,-4864,-5071,-5547,-5409,-4934,-4958,-4322,-5243,-5585,-4800,-4961,-5148,-5769,-4741,-4605,-4347,-5334,-5224,-2712,-3409,-5496,-5471,-5250,-1863,-5556,-5546,-5532,-5766,-5341,-5372,-5367,-5611,-5274,-4123,-3251,-4390,-5326,-4819,-5463,-5132,-5437,-2820,-5524,-5493,-4181,-5534,-5348,-5053,-5415,-5096,-4333,-4472,-5416,-5308,-3740,-5309,-3294,-4618,-3950,-5223,-4736,-5081,-5269,-5484,-4962,-5615,-5013,-5107,-4493,-4636,-5696,-5591,-5618,-4423,-4701,-4305,-4739,-5681,-3886,-5002,-4224,-4795,-2118,-5406,-5608,-4974,-5342
