0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
-2262,-915,-1340,-2509,-1657,-910,-1631,-343,-883,-1652,-1471,1114,-2142,-2617,-1555,-946,-2097,-1683,-1599,-1107,-1504,-1191,-2345,-1837,102,358,-1493
-2261,-1106,-1940,-2431,-1711,-988,-1809,-265,-753,-1638,-1452,1048,-2160,-2399,-1462,-1019,-1805,-1832,-1847,-685,-1295,-1182,-2415,-2047,201,144,-1416
-2114,-775,-1241,-2091,-1233,-642,-1373,-124,-723,-1428,-1272,848,-1866,-2072,-1026,-921,-1745,-1755,-1637,-852,-1183,-1023,-2057,-1606,-174,409,-1370
-1741,-831,-1315,-2004,-1540,-1120,-1413,27,-678,-1475,-1438,1231,-2005,-2189,-1017,-934,-1808,-1709,-1732,-847,-1377,-1337,-1939,-1715,82,215,-1323
-2136,-1246,-1426,-2382,-1601,-1027,-1366,-464,-577,-1536,-1415,1322,-2359,-2324,-1566,-856,-2081,-1765,-1958,-1050,-1333,-1172,-2226,-1692,379,416,-1306
-2037,-1079,-1450,-2369,-1369,-798,-1471,-218,-497,-1784,-1357,1493,-1935,-2239,-1176,-972,-1989,-1841,-1807,-675,-1508,-864,-2375,-1898,99,585,-1596
-2005,-779,-1679,-2220,-1455,-1167,-1403,-334,-743,-1633,-1442,1075,-2035,-2232,-1391,-906,-1846,-1733,-1769,-876,-1488,-1027,-2229,-1795,-190,166,-1264
-2127,-1207,-1812,-2194,-1712,-799,-1811,-431,-687,-1459,-1128,1224,-2079,-2351,-1343,-1175,-2056,-1856,-1677,-894,-1584,-1461,-2371,-2001,146,478,-1264
-1889,-1122,-1535,-2187,-1576,-804,-1417,-464,-872,-1705,-1471,887,-2022,-2317,-1349,-1026,-1614,-1657,-1698,-713,-1461,-1162,-2236,-1711,138,66,-1584
-2160,-1026,-1807,-2354,-1742,-640,-1477,-212,-687,-1807,-1881,1092,-1995,-2402,-1555,-1181,-1856,-1759,-1976,-1024,-1591,-1168,-2275,-1911,111,583,-1580
-2090,-990,-1457,-2412,-1503,-794,-1450,-470,-662,-1586,-1762,1365,-2096,-2342,-1516,-919,-2090,-1974,-1836,-631,-1616,-1021,-2455,-1974,31,479,-1450
-1991,-1131,-1523,-2170,-1463,-825,-1503,-105,-387,-1518,-1044,1117,-2129,-2148,-1227,-1008,-1889,-1650,-1592,-823,-1661,-1004,-2227,-1936,-105,661,-1481
-2461,-1350,-1535,-2320,-1888,-894,-1469,-540,-10,-1675,-1689,902,-2091,-2444,-1429,-1218,-1779,-1331,-1829,-989,-1304,-964,-2479,-2044,-5,204,-1629
-1793,-991,-1108,-2189,-908,-691,-1339,-388,-655,-1307,-1035,1165,-2036,-2113,-1127,-886,-1762,-1624,-1718,-583,-1271,-1285,-2211,-1866,-140,223,-1182
-2358,-1090,-1688,-2563,-1784,-552,-1662,-239,-85,-1821,-1455,1397,-2322,-2558,-1736,-1040,-1958,-1862,-1890,-1030,-1934,-1118,-2536,-2070,-41,303,-1886
-1961,-898,-1792,-2248,-1550,-913,-1308,-360,-629,-1487,-1709,835,-2200,-2220,-1648,-1070,-1597,-1471,-1874,-727,-1325,-1088,-2468,-1938,-84,-116,-1672
-2137,-977,-1565,-2281,-1597,-937,-1396,-324,-937,-1550,-1533,1199,-2162,-2192,-1383,-1004,-2015,-1613,-1913,-798,-1877,-1210,-2381,-1853,-109,449,-1387
-2067,-920,-1361,-2218,-1323,-856,-1372,-505,-423,-1679,-1435,884,-2008,-2155,-1509,-895,-1967,-1504,-1801,-1005,-1450,-999,-2470,-1711,-161,236,-1501
-2166,-1320,-1726,-2427,-1836,-748,-1371,-260,-615,-1815,-1730,891,-2419,-2756,-1334,-1294,-2314,-2025,-2170,-875,-1449,-1198,-2486,-1977,127,205,-1557
-1906,-745,-1232,-2143,-1167,-847,-1660,-472,-711,-1285,-1135,906,-1845,-2160,-1335,-783,-1811,-1603,-1645,-555,-1279,-1015,-1893,-1759,229,284,-1396
-1715,-1051,-1138,-2044,-1060,-697,-1338,-261,-535,-1424,-1069,1751,-1890,-1943,-1163,-747,-1941,-1594,-1445,-768,-1171,-1031,-2086,-1646,221,546,-950
-1963,-815,-1461,-2117,-1471,-520,-1451,-401,-334,-1474,-1241,842,-2016,-2244,-1452,-1092,-1936,-1405,-1993,-704,-1094,-1059,-2099,-1782,30,-27,-1240
-1929,-973,-1447,-2083,-1359,-256,-1258,-370,-488,-1668,-939,1325,-1925,-2287,-1469,-940,-1791,-1652,-1739,-872,-1014,-1108,-1954,-1619,9,12,-1233
-2273,-1193,-1922,-2267,-1595,-934,-1310,-128,-834,-1805,-1787,1341,-2480,-2185,-1516,-822,-1825,-1783,-1910,-894,-1339,-1328,-2490,-1916,-8,524,-1474
-1880,-1037,-1411,-1990,-1332,-753,-1432,-78,-375,-1500,-1557,1078,-1856,-2231,-1436,-1036,-1887,-1543,-1973,-651,-1362,-934,-2217,-2033,132,86,-1377
-1880,-1382,-1521,-1977,-1352,-699,-1170,-366,-400,-1542,-1110,1230,-1906,-2094,-1498,-1055,-1542,-1671,-1634,-669,-1430,-1091,-2156,-1900,171,-20,-1469
-1920,-1064,-1624,-2310,-1649,-462,-1377,-253,-166,-1491,-1532,1375,-2228,-2343,-1136,-853,-1826,-1717,-1798,-740,-1564,-1110,-2265,-1746,97,573,-1622
-2196,-1570,-1756,-2431,-1955,-1037,-1536,-727,-688,-1802,-1703,640,-2412,-2439,-1783,-1099,-2211,-1870,-1939,-1188,-1884,-1495,-2686,-2117,-274,245,-1619
-1979,-1247,-1543,-2130,-1155,-1105,-1044,-349,-960,-1495,-1309,1194,-1873,-2105,-1497,-875,-2088,-1766,-1731,-588,-1285,-1037,-2120,-1844,-8,117,-1071
-1897,-978,-1295,-2055,-1297,-744,-1161,-781,-867,-1366,-1191,784,-1896,-2212,-1450,-724,-1744,-1586,-1505,-595,-1059,-901,-2193,-1796,-140,361,-1250
-2170,-976,-1636,-2486,-1860,-861,-1565,-758,-413,-1505,-1574,1298,-2278,-2412,-1435,-949,-2074,-2082,-1678,-912,-1648,-1000,-2484,-2071,-54,610,-1750
-2082,-1163,-1619,-2593,-1678,-678,-1458,-384,-969,-1463,-1380,1099,-2188,-2183,-1395,-1102,-2178,-2097,-1761,-801,-1352,-1555,-2258,-1985,202,350,-1536
-1886,-972,-1658,-2367,-1239,-1190,-1549,-318,-892,-1573,-1373,901,-2128,-2275,-1083,-1128,-1996,-1875,-1760,-1019,-1231,-1254,-2078,-1863,-129,283,-1433
-2082,-997,-1507,-2140,-1110,-1170,-1111,-253,-1136,-1876,-1380,1556,-2037,-2150,-1319,-867,-2042,-1760,-1649,-745,-1399,-1258,-2356,-1745,222,607,-955
-1887,-1011,-1535,-2203,-1385,-633,-1353,59,-732,-1230,-1242,1632,-2054,-2219,-1041,-753,-1802,-1661,-1851,-626,-1165,-779,-2186,-1814,-11,593,-1384
-1964,-554,-1567,-2308,-1322,-565,-1458,-191,-261,-1500,-1138,1542,-1995,-2154,-1158,-1116,-1612,-1710,-1742,-636,-1185,-949,-2068,-1625,181,780,-1105
-1815,-1233,-1637,-2246,-1518,-647,-1254,-251,-667,-1803,-1418,1247,-1949,-2268,-1125,-747,-1834,-1653,-1887,-745,-1495,-986,-2343,-1840,113,807,-1297
-1883,-1048,-1610,-2117,-1632,-768,-1667,-463,-716,-1688,-1632,1591,-2193,-2147,-1209,-685,-2067,-1597,-2148,-799,-1284,-1267,-2508,-2028,84,478,-1598
-2056,-1095,-1734,-2366,-1590,-847,-1611,-160,-689,-1572,-1398,1097,-2108,-2284,-1302,-1079,-2166,-1691,-1848,-1172,-1252,-1458,-2180,-2000,147,227,-1629
-1671,-1107,-1172,-1934,-1165,-638,-1182,-554,-360,-1414,-999,821,-2000,-1941,-1385,-830,-1455,-1760,-1642,-610,-1371,-840,-2041,-1705,36,168,-1321
-2080,-900,-1274,-2229,-1454,-749,-1492,-283,-879,-1534,-1392,1204,-2237,-2308,-1380,-819,-1888,-1739,-1901,-1006,-1371,-1274,-2369,-1857,-129,312,-1531
