0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
-1810,-251,-2255,-835,-688,-814,-1305,-1737,-2026,-2326,-2152,-1669,-1435,-2322,-1790,-1694,-399,-593,-2037,-1534,-1513,-2292,252,-1742,-1355,-664,-496,-2220,-1248,-1364,-1621,-2259,-2127,-1386,-1903,-1870
-2030,-564,-2366,-938,-647,-1059,-1667,-2188,-1857,-2042,-2340,-1880,-1792,-2269,-1995,-1637,-240,-500,-1691,-1672,-1676,-2289,305,-1698,-1468,-750,-710,-2312,-1313,-1368,-1980,-2113,-2171,-1495,-1927,-1816
-1868,-942,-2674,-1009,-625,-1315,-1716,-2095,-2219,-2015,-2218,-1880,-1625,-2582,-1819,-1661,-877,-947,-1812,-1706,-1407,-2428,-509,-1951,-1438,-996,-876,-2196,-1645,-1625,-2027,-2205,-2008,-1634,-1829,-1836
-2025,-866,-2226,-974,-808,-990,-1532,-1891,-1969,-1861,-1781,-1658,-1423,-2275,-1830,-1458,-408,-989,-1670,-1601,-1484,-2275,77,-1588,-1362,-965,-1057,-2206,-1338,-1505,-2063,-2088,-2240,-1175,-1849,-1482
-1651,-349,-2154,-61,-719,-771,-1376,-1763,-2005,-1809,-1996,-1420,-1441,-2403,-1779,-1275,-165,-385,-1813,-1711,-1250,-2258,694,-1787,-1012,-426,-875,-2325,-1681,-1325,-1723,-2099,-1752,-1253,-1889,-1630
-1506,-778,-2243,-764,-683,-992,-1448,-1974,-1780,-1621,-1926,-1188,-1353,-2114,-1572,-1315,-305,-822,-1580,-1597,-1468,-2120,-47,-1444,-1423,-759,-496,-2381,-1250,-1406,-1776,-2108,-1955,-1494,-1899,-1391
-1511,-463,-2195,-344,-544,-968,-1400,-1249,-2108,-2052,-1889,-1651,-1305,-2277,-1786,-1589,-166,-668,-1666,-1555,-1364,-2230,318,-1307,-1274,-770,-692,-2179,-1440,-1582,-1559,-1929,-1751,-1388,-1799,-1599
-2025,-597,-2462,-684,-971,-930,-1514,-2449,-2051,-2115,-2385,-1597,-1419,-2514,-2133,-1640,-380,-677,-1965,-1626,-1913,-2557,267,-1978,-1703,-1027,-840,-2563,-1741,-1417,-1642,-2290,-2229,-1555,-1924,-1971
-1910,-823,-2687,-1070,-779,-1238,-1556,-2100,-2102,-2000,-1751,-1759,-1558,-2413,-1919,-1805,-852,-629,-1578,-1823,-1338,-2495,-348,-1934,-1486,-760,-816,-2654,-1773,-1480,-2268,-2252,-2264,-1264,-1848,-1780
-1953,-469,-2249,-607,-524,-632,-1258,-1738,-1876,-1923,-1840,-1678,-1107,-2395,-1732,-1766,110,-589,-1617,-1798,-1614,-2218,498,-1636,-1460,-235,-702,-2308,-1214,-1426,-1614,-2132,-1806,-1584,-1635,-1192
-1946,-563,-2223,-600,-598,-883,-1560,-1555,-2094,-1941,-2027,-1379,-1503,-2284,-1846,-1755,24,-108,-1709,-1580,-1271,-2273,416,-1426,-1628,-192,-871,-2256,-1344,-1499,-1837,-2189,-2086,-1450,-1821,-1337
-1859,-641,-2048,-91,-262,-691,-1223,-1634,-1972,-1772,-1440,-1457,-1347,-2273,-1603,-1321,-184,-528,-1577,-1547,-1441,-2160,451,-1541,-1158,-346,-331,-2244,-1244,-1371,-1579,-2055,-1898,-1105,-1374,-1465
-1639,-285,-2073,-190,-337,-932,-1241,-1402,-1860,-1653,-1859,-1299,-920,-2279,-1678,-1399,-586,-84,-1255,-1294,-1308,-2328,107,-1686,-1117,-567,-640,-2156,-1558,-876,-1742,-1954,-1946,-1433,-1854,-1282
-2088,-687,-2486,-1067,-563,-884,-1420,-1917,-2267,-2101,-2172,-1928,-1526,-2424,-1735,-1800,-341,-784,-1792,-1852,-1481,-2464,163,-1757,-1838,-525,-732,-2418,-1497,-1692,-1653,-2301,-2145,-1302,-1784,-1632
-1992,-922,-2449,-966,-70,-925,-1623,-2060,-2188,-2308,-2463,-1763,-1738,-2479,-2008,-1722,-447,-759,-1955,-2037,-1649,-2595,213,-1882,-1670,-444,-577,-2436,-1170,-1616,-2061,-2421,-2182,-1658,-1792,-1870
-2092,-834,-2619,-885,-894,-813,-1732,-2450,-2317,-2115,-2515,-1919,-1185,-2512,-1985,-1963,-419,-947,-1801,-1793,-1788,-2539,209,-2046,-1900,-582,-682,-2488,-1378,-1556,-2171,-2151,-2185,-1334,-1938,-1382
-2220,-225,-2552,-629,-750,-926,-1318,-2080,-2188,-2241,-1875,-1926,-1243,-2384,-1875,-1671,-338,-123,-1857,-1708,-1501,-2439,661,-1781,-1601,-771,-690,-2361,-1319,-1466,-1902,-2394,-2181,-1213,-2061,-1441
-2083,-747,-2587,-1190,-919,-1243,-1586,-2462,-2353,-2094,-2686,-1830,-1346,-2594,-2041,-1781,-811,-697,-1959,-1878,-1445,-2336,204,-1671,-1647,-522,-613,-2518,-1380,-1939,-2316,-2524,-2572,-1657,-2026,-1686
-1781,-350,-2123,-178,-766,-891,-1599,-1902,-1910,-1876,-1955,-1482,-1167,-2138,-1744,-1545,-449,-438,-1667,-1313,-1462,-2030,603,-1445,-1218,-472,-638,-2158,-1465,-1171,-1686,-2171,-1888,-1412,-1841,-1120
-1828,-498,-2488,-922,-1197,-917,-1459,-1949,-2120,-2022,-2118,-1574,-1598,-2399,-1896,-1748,-515,-658,-1616,-1610,-1350,-2623,3,-1637,-1583,-1027,-970,-2583,-1641,-1456,-2044,-2329,-2251,-1474,-2186,-1553
-1765,-374,-2364,-495,-820,-930,-1559,-2052,-1913,-1915,-1999,-1791,-1471,-2169,-1739,-1631,-513,-459,-2075,-1675,-1618,-2204,462,-1707,-1496,-803,-1013,-2487,-1565,-1526,-1876,-2137,-2001,-1762,-1816,-1660
-1909,-585,-2335,-663,-814,-946,-1708,-2002,-2058,-1996,-1952,-1178,-1163,-2371,-1890,-1611,-197,-644,-1772,-1794,-1517,-2295,103,-1452,-1384,-768,-745,-2413,-1401,-1471,-2040,-2019,-2002,-1628,-1812,-1553
-2034,-1014,-2426,-1314,-652,-1418,-1734,-2146,-2302,-2351,-2088,-2031,-1732,-2506,-1919,-1763,-350,-943,-2115,-2296,-1791,-2676,62,-1655,-1617,-692,-892,-2485,-1808,-1977,-1952,-2402,-2048,-1651,-1825,-1864
-1765,-622,-2367,-847,-695,-1152,-1501,-2038,-2107,-2259,-2166,-1880,-1735,-2440,-1810,-1517,-797,-751,-1767,-1665,-1616,-2352,117,-1846,-1244,-1004,-623,-2557,-1742,-1709,-1876,-2042,-2203,-1619,-1867,-1482
-1738,-786,-2311,-287,-354,-638,-1264,-1826,-1873,-1786,-1929,-1673,-1282,-2074,-1843,-1539,-434,-801,-1474,-1555,-1571,-2251,317,-1912,-1106,-458,-560,-2005,-1303,-1326,-1598,-2116,-1840,-1585,-1621,-1422
-1939,-395,-2319,-820,-282,-837,-1564,-2235,-1718,-2157,-2011,-1602,-1394,-2107,-1941,-1402,-129,-474,-1795,-1815,-1368,-2225,454,-1676,-1501,-252,-610,-2271,-1219,-1532,-1662,-2061,-2036,-1518,-1701,-1718
-1921,-622,-2304,-1018,-782,-1221,-1406,-2244,-2145,-2000,-2094,-1851,-1558,-2287,-1889,-1522,-229,-731,-1670,-1926,-1601,-2312,369,-1815,-1491,-363,-711,-2333,-1095,-1788,-1995,-2341,-2066,-1252,-1695,-1785
-1966,-593,-2307,-641,-1000,-1164,-1310,-2005,-2099,-1974,-2140,-1921,-1545,-2060,-1877,-1841,-630,-524,-1929,-1606,-1757,-2351,-228,-1638,-1518,-1011,-887,-2502,-1424,-1364,-1855,-2298,-2114,-1243,-2042,-1477
-1930,-504,-2309,-811,-685,-963,-1437,-2048,-2100,-1993,-2141,-1773,-1272,-2447,-1863,-1651,-340,-865,-1780,-1631,-1686,-2224,-28,-1394,-1466,-535,-769,-2137,-1593,-1420,-1964,-2111,-1958,-1614,-1781,-1619
-2121,-388,-2352,-535,-857,-551,-1678,-2223,-2135,-2038,-2181,-1838,-1325,-2679,-1851,-1730,-312,-664,-1835,-2034,-1494,-2456,358,-1867,-1798,-572,-701,-2537,-1494,-1374,-1898,-2336,-2109,-1384,-1996,-1504
-1926,-633,-2183,-806,-525,-1303,-1551,-1771,-1610,-2001,-1858,-1358,-1327,-2192,-1619,-1518,-289,-638,-1750,-1453,-1423,-2251,-57,-1564,-1495,-583,-311,-2271,-1370,-1128,-1653,-2108,-1990,-1291,-1878,-1176
-2006,-772,-2318,-588,-698,-768,-1359,-2248,-1868,-1974,-2040,-1583,-1506,-2228,-1870,-1518,-235,-567,-1799,-1814,-1564,-2295,339,-1704,-1584,-530,-715,-2249,-1338,-1499,-1772,-2156,-1975,-1516,-1702,-1563
-2329,-927,-2649,-808,-992,-1170,-1808,-2324,-2376,-2206,-2284,-1833,-1532,-2704,-2041,-1788,-462,-1083,-1854,-1899,-1776,-2782,-69,-1885,-1901,-1092,-915,-2512,-1657,-1461,-2131,-2485,-2364,-1814,-2270,-1641
-2117,-775,-2311,-882,-936,-881,-1269,-2099,-1912,-2244,-2392,-1788,-1824,-2566,-2255,-1810,-405,-628,-1828,-1628,-1607,-2470,361,-1568,-1737,-635,-942,-2588,-1461,-1322,-1839,-2380,-2276,-1688,-1872,-1758
-1960,-131,-2399,-724,-682,-1048,-1592,-1955,-1991,-1935,-2002,-1652,-1443,-2248,-1897,-1627,-510,-344,-1901,-1833,-1537,-2231,266,-1688,-1494,-345,-729,-2188,-1292,-1509,-1717,-2152,-2050,-1360,-1680,-1572
-2081,-434,-2116,-650,-500,-769,-1265,-1794,-1884,-1946,-1769,-1715,-1249,-2253,-1835,-1634,-156,-473,-1794,-1658,-1489,-2335,439,-1540,-1147,-426,-671,-2227,-1077,-1260,-1558,-2042,-1973,-1374,-1628,-1318
-1954,-720,-2143,-849,-746,-933,-1338,-1708,-1969,-2002,-2103,-1524,-1300,-2113,-1651,-1756,-380,-911,-1659,-1784,-1320,-2192,-10,-1713,-1356,-570,-519,-1958,-1276,-1488,-1468,-2055,-1804,-1252,-1686,-1565
-1983,-1168,-2618,-1248,-1065,-1301,-1504,-2153,-2231,-2322,-2496,-1785,-1930,-2656,-2149,-1837,-829,-1088,-2152,-1958,-1349,-2603,-11,-1941,-1625,-930,-1047,-2448,-1624,-1793,-1933,-2284,-2356,-1540,-1809,-1908
-2137,-489,-2358,-912,-870,-1044,-1558,-2299,-2111,-2108,-2284,-1583,-1814,-2523,-1920,-1757,-187,-882,-1758,-1502,-1585,-2322,436,-1661,-1574,-782,-762,-2492,-1458,-1521,-2020,-2478,-2232,-1555,-1664,-1821
-2000,-820,-2417,-806,-387,-1265,-1674,-1987,-1913,-2123,-2065,-1434,-1624,-2216,-1918,-1706,-756,-1021,-1563,-1938,-1588,-2443,-439,-1944,-1609,-753,-684,-2413,-1623,-1424,-1949,-2053,-2188,-1541,-1935,-1796
-1664,-239,-2356,-737,-705,-719,-1598,-2032,-2055,-1933,-1917,-1639,-1573,-1993,-1816,-1582,90,-408,-1433,-1655,-1509,-2091,391,-1591,-1553,-226,-762,-1974,-1242,-1593,-1867,-2135,-1825,-1611,-1593,-1531
-1820,-604,-2224,-603,-712,-805,-1416,-1881,-1912,-1862,-2003,-1713,-1345,-2120,-1684,-1487,-340,-524,-1587,-1588,-1631,-2030,255,-1327,-1420,-610,-820,-2129,-1299,-1250,-1726,-2022,-1925,-1583,-1678,-1728
-1698,-178,-2228,-640,-441,-646,-1391,-1602,-2119,-2035,-1963,-1694,-1533,-2176,-1777,-1533,-51,-980,-1709,-1547,-1442,-2192,674,-1592,-1450,-328,-498,-2237,-1260,-1503,-1739,-2020,-1782,-1583,-1554,-1459
-1827,-310,-2446,-903,-591,-1247,-1633,-1920,-2205,-1991,-2085,-1784,-1359,-2221,-1802,-1593,-542,-568,-1785,-1790,-1434,-2564,229,-1869,-1280,-254,-605,-2454,-1462,-1588,-1823,-2045,-2130,-1549,-1977,-1676
