0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
-1954,-842,-1760,-1884,-1429,-2190,-1229,-954,-620,-1364,-945,-1334,-1500,-2537,-926,-1366,-1319,-1137,-1299,-2154,-1511,-835,-1322,-2057,-2389,-2539,-1286,-1657,-2070,-2179,-1098,-1616,-1917,-1992,-2298,-1131,-1752,-1914,-631,-2528,-997,-1946,-1840,-2347,-2079
-1892,-1017,-1461,-1819,-1423,-2136,-883,-684,-866,-1239,-999,-988,-1248,-2253,-224,-1278,-1366,-978,-1216,-1732,-1543,-336,-1405,-1853,-2147,-2331,-1207,-1664,-2017,-2240,-1055,-1489,-1627,-1706,-2174,-1002,-1888,-1689,-419,-2070,-1021,-1961,-1647,-2182,-1753
-1955,-1166,-1237,-1817,-1352,-2087,-1089,-407,-853,-1573,-1212,-941,-1468,-2295,-492,-1410,-1898,-1513,-1382,-2168,-1750,-437,-1871,-1913,-2218,-2293,-1093,-1582,-1974,-2171,-1144,-1326,-2013,-2028,-2364,-1153,-1918,-1762,-335,-2272,-1166,-1998,-1939,-2347,-2066
-1749,-984,-1392,-1714,-1370,-2088,-896,-490,-721,-1285,-1326,-1155,-1325,-2161,-620,-1211,-1409,-1312,-1240,-2038,-1446,-424,-1620,-1895,-2088,-2314,-1036,-1644,-1928,-2110,-1081,-1324,-1583,-1728,-2250,-1088,-1711,-1994,-361,-2052,-1242,-1715,-1704,-2204,-1974
-2207,-1215,-1850,-2127,-1614,-2351,-1389,-1059,-1165,-1382,-1436,-1321,-1677,-2472,-1034,-1536,-1952,-1515,-1669,-2139,-1815,-872,-1926,-1763,-2473,-2550,-1265,-1900,-2323,-2272,-1348,-1558,-2061,-1929,-2606,-1273,-1863,-1813,-340,-2293,-1510,-1959,-2070,-2625,-2121
-2449,-1261,-2049,-1829,-1290,-2662,-1135,-826,-651,-1292,-1307,-1465,-1269,-2589,-666,-1509,-1713,-1567,-1126,-2211,-1527,-880,-1944,-2362,-2652,-2966,-1731,-1802,-2264,-2661,-1403,-2031,-2012,-2076,-2552,-1114,-1901,-2123,-625,-2465,-980,-2250,-2062,-2553,-2307
-1734,-1168,-1726,-1606,-1389,-2140,-1372,-745,-633,-1321,-1090,-1482,-1130,-2457,-755,-1171,-1374,-1237,-1149,-2011,-1518,-470,-1577,-1911,-2058,-2485,-928,-1645,-1842,-2065,-962,-1364,-2055,-1859,-2223,-1125,-1512,-1790,-560,-2196,-1112,-1501,-1637,-2380,-1987
-1846,-1215,-1479,-1581,-1550,-2382,-903,-748,-561,-1145,-1204,-1213,-1312,-2037,-650,-1420,-1568,-953,-1177,-1868,-1407,-136,-1809,-1795,-2025,-2056,-774,-1853,-1757,-1950,-1317,-1566,-1734,-1683,-1943,-947,-1865,-1863,93,-1865,-980,-1567,-1886,-2025,-1899
-2258,-1456,-1533,-1873,-1567,-2500,-1549,-1082,-859,-1635,-1657,-1616,-1328,-2481,-1054,-1660,-1800,-1310,-1324,-2407,-1806,-738,-2092,-2172,-2643,-2729,-1355,-2129,-2187,-2428,-1305,-1782,-2183,-2120,-2614,-1363,-1778,-1952,-418,-2585,-1386,-2455,-2090,-2863,-2262
-2031,-1278,-1589,-1867,-1443,-2480,-1242,-798,-442,-1443,-1336,-1276,-1322,-2663,-391,-1634,-1575,-1046,-1375,-1974,-1829,-135,-1925,-2405,-2257,-2551,-1176,-1757,-2147,-2188,-1410,-1579,-2012,-1927,-2400,-1019,-1988,-1785,-274,-2558,-1229,-1901,-2033,-2443,-2018
-1918,-1510,-1715,-1892,-1904,-2569,-1166,-935,-989,-1618,-1536,-1275,-1458,-2588,-913,-1401,-1637,-1143,-1397,-2440,-1757,-683,-2018,-2127,-2413,-2610,-1375,-1684,-2394,-2360,-1328,-1679,-2040,-2291,-2422,-1385,-2153,-2097,-309,-2373,-1217,-2004,-1965,-2584,-2311
-1775,-1229,-1240,-1550,-1048,-2309,-987,-732,-691,-1037,-1186,-515,-942,-2186,-392,-935,-1198,-1287,-1083,-1865,-1212,-263,-1449,-1779,-2088,-2182,-1225,-1789,-1572,-1881,-919,-1477,-1754,-1256,-2014,-778,-1699,-1586,-216,-1997,-1180,-1617,-1597,-1880,-1868
-1860,-1348,-1500,-1701,-1382,-2356,-1009,-786,-546,-1237,-1062,-1040,-1119,-2228,-782,-1240,-1363,-1056,-1292,-2104,-1574,-442,-1808,-1986,-2195,-2355,-1236,-1583,-1960,-2092,-1100,-1612,-1618,-1690,-2158,-861,-1654,-1409,7,-1881,-758,-1703,-1887,-2273,-2026
-1867,-1154,-1462,-1594,-1297,-2230,-917,-669,-600,-1281,-1238,-1001,-1266,-2175,-500,-1120,-1446,-958,-916,-1844,-1364,-321,-1481,-1823,-2047,-2250,-903,-1761,-1989,-1984,-1007,-1180,-1680,-1525,-2333,-1002,-1696,-1525,-387,-1938,-879,-1694,-1660,-2297,-1991
-1945,-1339,-1336,-1825,-1197,-1872,-981,-815,-404,-1455,-1087,-951,-1292,-2390,-778,-1373,-1553,-1211,-1048,-1809,-1425,-658,-1822,-2066,-2081,-2394,-1266,-1637,-2214,-1972,-1223,-1735,-1658,-1872,-2207,-878,-2003,-1513,-181,-2210,-829,-1983,-1861,-2212,-1934
-1657,-1179,-1602,-1445,-1316,-1944,-793,-520,-811,-1321,-1187,-858,-1495,-2245,-392,-1204,-1409,-1132,-1121,-1835,-1329,-524,-1748,-1671,-2049,-2378,-1180,-1683,-1890,-1986,-1114,-1322,-1942,-1555,-2006,-1075,-1712,-1609,-328,-1990,-1038,-1573,-1902,-2139,-2073
