0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
-801,-1944,-2387,-2006,-1787,-1509,-2175,-1740,-2195,-1800,-2120,-2116,-1182,-2297,-2126,-1704,-2144,-2192,-1553,-2181,-1587,-1335,-1980,-1437,-2291,-1088,-1885,-1519,-1312,-2104,-827,-2161,-1271,-1456,-648,-1841,-1982,-1314,-1404,-2340,-1428,-2169,-737,-2220,-867,-1432,-1939,-1972,-2286,-2047,-1878,-1564,-1667,-2164
-1064,-2154,-2151,-1914,-1655,-1919,-2430,-1906,-2273,-1882,-1804,-2382,-1664,-2292,-1903,-1620,-2203,-2433,-1478,-2551,-1782,-1489,-1523,-1537,-2354,-976,-2155,-1609,-1626,-1908,-1245,-2357,-1279,-1115,-488,-1856,-2150,-1675,-1811,-2198,-1267,-2373,-1164,-2399,-1345,-1556,-2025,-2266,-2223,-2449,-1640,-1213,-1348,-2229
-945,-2329,-2222,-2161,-1956,-1889,-2377,-2082,-2398,-2019,-1965,-2229,-1654,-2233,-2169,-1747,-2158,-2521,-1476,-2567,-1389,-1618,-1636,-1132,-2290,-837,-2023,-1476,-1368,-2149,-1581,-1933,-1085,-918,-494,-2001,-2347,-1332,-1878,-2383,-844,-2272,-860,-2257,-972,-1427,-2113,-2148,-2372,-2468,-1773,-980,-1462,-2115
-941,-1982,-2177,-1738,-1772,-1699,-2181,-1912,-1970,-1898,-1853,-2031,-1334,-2193,-1876,-1738,-1888,-2368,-1123,-2003,-1601,-1459,-1341,-1326,-2131,-925,-1743,-1439,-1464,-1690,-1355,-1849,-850,-455,-893,-1677,-2093,-1516,-1589,-2241,-1082,-1995,-674,-2060,-882,-1788,-1935,-1910,-1987,-2233,-1643,-1113,-1181,-2126
-947,-1786,-1908,-1744,-1781,-1665,-2271,-1953,-1997,-1873,-1789,-1992,-1229,-2246,-1810,-1650,-2087,-2188,-1389,-2281,-1653,-1577,-1623,-1200,-2245,-840,-1868,-1382,-1244,-2007,-1140,-1885,-836,-850,-804,-1564,-2112,-1275,-1746,-2149,-563,-2084,-1149,-2072,-477,-1438,-1845,-2210,-2205,-2000,-1608,-1223,-1395,-2041
-1033,-2412,-2296,-2261,-1925,-1846,-2357,-2140,-2427,-2195,-2090,-2368,-1560,-2555,-2314,-1851,-2260,-2518,-1921,-2459,-1912,-1522,-1764,-1385,-2632,-1186,-2188,-1759,-1884,-2416,-1190,-2353,-1243,-1120,-639,-2101,-2398,-1557,-1683,-2638,-1508,-2144,-946,-2457,-1652,-1652,-2144,-2291,-2522,-2345,-1938,-1324,-1905,-2263
-1403,-2606,-3024,-2307,-2368,-2280,-2945,-2665,-2602,-2581,-2588,-2740,-1827,-2683,-2631,-2393,-2697,-2872,-1965,-2937,-2552,-1991,-1833,-1963,-3084,-1395,-2120,-2037,-2293,-2568,-1664,-2583,-1403,-1671,-1238,-2550,-2610,-2081,-2413,-3040,-1521,-2582,-978,-2905,-1616,-2034,-2714,-2559,-2849,-3104,-2167,-1988,-2125,-2845
-732,-2199,-2341,-1890,-1839,-1890,-2330,-2044,-2380,-2135,-2182,-2223,-1353,-2102,-2204,-2103,-2223,-2576,-1455,-2068,-1775,-1608,-1489,-1515,-2456,-1341,-2177,-1642,-1760,-2251,-1238,-1941,-951,-1502,-512,-1962,-2016,-1378,-1753,-2481,-1297,-2287,-1223,-2230,-1375,-1522,-2256,-2250,-2209,-2389,-1902,-1494,-1620,-1992
-1274,-2520,-2332,-2152,-2150,-2470,-2588,-2210,-2529,-2421,-2579,-2581,-1837,-2560,-2300,-2160,-2274,-2812,-2043,-2780,-2298,-1825,-1770,-1798,-2747,-1194,-2263,-2134,-2014,-2572,-1429,-2382,-1671,-1201,-977,-2085,-2376,-1898,-1646,-2754,-1628,-2616,-1509,-2902,-1310,-1842,-2291,-2488,-2660,-2602,-2060,-1642,-2180,-2610
-785,-1983,-2111,-2135,-2038,-1960,-2408,-2318,-2210,-1947,-1974,-2268,-1492,-2400,-2193,-1728,-2241,-2381,-1471,-2493,-2098,-1775,-1376,-1536,-2414,-1208,-2028,-1538,-1783,-2109,-1283,-2149,-1461,-937,-1212,-1968,-2127,-1461,-1868,-2424,-1007,-2366,-1279,-2474,-1337,-1651,-2335,-2257,-2531,-2172,-1636,-1295,-1641,-2089
-1109,-2016,-2158,-1884,-1740,-1441,-2088,-2077,-1981,-2011,-1804,-2101,-1287,-2076,-1890,-1636,-2143,-2242,-1244,-2206,-1737,-1392,-1424,-1152,-2256,-1254,-1898,-1476,-1401,-1995,-1366,-1705,-1316,-1032,-1063,-1605,-1822,-1268,-1502,-2342,-920,-2073,-1406,-2209,-1195,-1539,-2169,-2019,-2241,-2261,-1689,-850,-1453,-1985
-686,-2273,-2308,-1980,-1867,-2091,-2171,-2090,-2449,-2103,-2107,-2306,-1435,-2295,-2090,-2192,-2336,-2632,-1618,-2330,-2128,-1662,-1442,-1668,-2448,-1034,-1904,-1708,-1588,-1955,-1440,-1972,-1414,-962,-708,-1747,-2160,-1579,-1999,-2369,-1025,-2322,-1250,-2196,-1025,-1734,-2341,-2177,-2282,-2425,-1748,-1058,-1686,-2205
-857,-2205,-2284,-2274,-1694,-2195,-2475,-2225,-2306,-2081,-2265,-2249,-1537,-2442,-2064,-1949,-2404,-2611,-1495,-2095,-2111,-1545,-1903,-1676,-2620,-1144,-2096,-1807,-1708,-2278,-1539,-2192,-1420,-1106,-685,-1768,-2222,-1494,-1813,-2580,-1365,-2298,-1327,-2544,-1026,-1823,-2365,-2333,-2440,-2538,-1851,-1548,-1843,-2223
-1013,-2122,-2495,-1970,-1940,-1806,-2472,-2249,-2313,-2198,-1944,-2410,-1768,-2223,-2247,-1758,-2196,-2408,-1637,-2210,-1680,-1838,-1860,-1672,-2483,-881,-2051,-1605,-1528,-1834,-1187,-2216,-1635,-1152,-1055,-1999,-1951,-1726,-1926,-2484,-1386,-2217,-1046,-2412,-1184,-1738,-2266,-2422,-2215,-2478,-2054,-1284,-1464,-2446
-952,-2127,-2191,-2050,-2136,-2077,-2426,-1951,-2326,-1861,-2224,-2285,-1568,-2244,-2108,-1745,-1978,-2484,-1955,-2230,-2230,-1547,-1793,-1344,-2426,-1202,-1983,-1363,-1938,-2321,-1254,-2133,-1518,-1101,-869,-1917,-2201,-1461,-1646,-2480,-1475,-2190,-1061,-2441,-1250,-1714,-2333,-2230,-2233,-2342,-1794,-1134,-1714,-2013
-1046,-2304,-2521,-2228,-2056,-1977,-2721,-2314,-2782,-2292,-2546,-2405,-1298,-2167,-2193,-2001,-2462,-2624,-2341,-2603,-2169,-1781,-2100,-1781,-2682,-1344,-2143,-1601,-2060,-2301,-1544,-2415,-1285,-1481,-741,-2211,-2529,-1672,-1819,-2611,-1492,-2306,-940,-2638,-1382,-1884,-2434,-2399,-2373,-2231,-1994,-1384,-1737,-2523
-977,-2270,-2210,-2178,-2074,-1770,-2435,-2070,-2477,-2401,-2392,-2237,-1389,-2513,-2079,-1981,-2339,-2473,-1838,-2479,-2009,-1538,-1752,-1534,-2552,-1128,-2077,-1630,-1685,-2123,-1407,-2168,-1169,-1056,-839,-2042,-2348,-1605,-1970,-2686,-1287,-2238,-984,-2447,-1127,-1621,-2334,-2091,-2239,-2517,-1785,-1395,-1692,-2215
-656,-2369,-2240,-1965,-1824,-1804,-2448,-2235,-2327,-2180,-2255,-2413,-1482,-2322,-2188,-1955,-2253,-2710,-1508,-2384,-1792,-1736,-1501,-1644,-2561,-1208,-2019,-1802,-1818,-2165,-1319,-2269,-1260,-1043,-1017,-1763,-2106,-1767,-1706,-2401,-1272,-1895,-1211,-2498,-1212,-1399,-2205,-2268,-2337,-2441,-1758,-1394,-1669,-2240
-962,-2136,-2393,-2045,-2087,-1723,-2394,-2163,-2534,-2107,-1968,-2337,-1727,-2290,-2086,-2005,-2331,-2692,-1409,-2316,-2036,-1691,-1623,-1279,-2499,-1372,-2067,-1671,-1747,-2164,-1096,-2180,-935,-966,-736,-2137,-2254,-1472,-1627,-2509,-1335,-2120,-799,-2410,-1453,-1493,-2151,-2213,-2222,-2613,-1729,-1442,-1772,-2023
-1097,-2197,-2008,-1947,-1703,-1591,-2419,-1856,-2348,-1881,-1931,-2034,-1870,-2134,-1998,-1686,-2002,-2308,-1680,-2154,-1691,-1816,-1553,-1485,-2488,-1366,-1961,-1433,-1156,-2066,-1162,-1816,-1160,-1017,-882,-2030,-2010,-1160,-1805,-2201,-1254,-2042,-1118,-2234,-602,-1737,-2216,-2356,-2291,-2250,-1825,-1159,-1548,-2130
-875,-2061,-2164,-2044,-1785,-1734,-2382,-1887,-2313,-2086,-1970,-2255,-1420,-2045,-2138,-1830,-1971,-2307,-1437,-2493,-1941,-1424,-1635,-1340,-2294,-1304,-1951,-1665,-1534,-2193,-1068,-1911,-762,-912,-890,-1760,-1988,-1288,-1617,-2398,-908,-2203,-931,-2349,-770,-1048,-2131,-2319,-2076,-2296,-1716,-1221,-1523,-2000
-880,-2043,-2344,-2020,-1705,-1436,-2187,-2006,-2136,-2088,-2066,-2033,-1275,-2234,-2162,-1890,-2059,-2138,-1867,-2415,-1806,-1654,-1469,-1441,-2130,-879,-1918,-1605,-1328,-2163,-1156,-2167,-1286,-1004,-909,-1884,-2193,-1378,-1524,-2355,-1266,-2138,-1252,-2413,-914,-1628,-2277,-2342,-2196,-2382,-1778,-1253,-1566,-2122
