0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
-6281,-6671,-6965,-7162,-5548,-6394,-7058,-6777,-2757,-5067,-7081,-5130,-6002,-3151,-4960,-6810,-5153,-6899,-3730,-6517,-6002,-5277,-5380,-5055,-5821,-6669,-5721,-1714,-4973,-6460,-7065,-5839,-6285,-6549,-6296,-6407,-6216,-6745,-6481,-3481,-6996,-7143,-2645,-5135,-7037,-6282,-4805,-4536,-7059,-6768,-5514,-6918,-5704,-7119,-3828,-6332,-6616,-7173,-6994,-6456,-6200,-6520,-5341,-5979,-5983,-7050,-7056,-4461,-5964,-5670,-5833,-3398
-5573,-6188,-7873,-7400,-6110,-7494,-7100,-7724,-5417,-4596,-6566,-6793,-6617,-4825,-6009,-7551,-6731,-7813,-4278,-7067,-6663,-4556,-5424,-5278,-5545,-6014,-7307,-5070,-4800,-6690,-7517,-6571,-5408,-6611,-5553,-6508,-7663,-7790,-7588,-4765,-7727,-7835,-3898,-6386,-6575,-6185,-5710,-4923,-7736,-7225,-6234,-7736,-6333,-6552,-6026,-6887,-7251,-7095,-7145,-6714,-6468,-7411,-4919,-7118,-6471,-7377,-6768,-6433,-7690,-5966,-6353,-5199
-5284,-6456,-7798,-7833,-6151,-7575,-7443,-7390,-3724,-5713,-7266,-5140,-5181,-3728,-5414,-7497,-6145,-7750,-4112,-5660,-5177,-5412,-4082,-4168,-5138,-6694,-7218,-2342,-5589,-6942,-7788,-6114,-6801,-7059,-6347,-7127,-6675,-7660,-7675,-5033,-7765,-7740,-3828,-6537,-6817,-7311,-5757,-5288,-7415,-7077,-6335,-7857,-6518,-6638,-6025,-6764,-6988,-5951,-7599,-7114,-6842,-5630,-6340,-6220,-6587,-7878,-7147,-5729,-7977,-5752,-6321,-5244
-4767,-6540,-7629,-7659,-6627,-7498,-6892,-7175,-3990,-6079,-7668,-5850,-6801,-3201,-5757,-7727,-6276,-7055,-5095,-6906,-6920,-6281,-5545,-5416,-5833,-6071,-5990,-2501,-4822,-6819,-7049,-6334,-5946,-7002,-6880,-6514,-7106,-7153,-7754,-3617,-7574,-7519,-3941,-6621,-7671,-7446,-5601,-5038,-7372,-6483,-6239,-7574,-5352,-6743,-5651,-7552,-6882,-7722,-7607,-6824,-6212,-7097,-4950,-6490,-5774,-7613,-7188,-4406,-7381,-6513,-6078,-5130
-4863,-5969,-6499,-7057,-4574,-6103,-6389,-6629,-4827,-5127,-6675,-4853,-5589,-3825,-5561,-5802,-5281,-6992,-3841,-6345,-6253,-5432,-5204,-4917,-4751,-5583,-6657,-3434,-5105,-6173,-6884,-4953,-5584,-6129,-6079,-6322,-5863,-6510,-6789,-4367,-7095,-6442,-2958,-5315,-6580,-5532,-4382,-5504,-6532,-6216,-5774,-7051,-6012,-6467,-5512,-6373,-6224,-6838,-6688,-5718,-5916,-6511,-5336,-6218,-6039,-5742,-6416,-5086,-6803,-5128,-5499,-3784
-4445,-5706,-6258,-5963,-4898,-5927,-5737,-5840,-3661,-3847,-6163,-4609,-4612,-3855,-3890,-5428,-4708,-5934,-2696,-5535,-4711,-4024,-3209,-4372,-3921,-5409,-5787,-3915,-4699,-5388,-6063,-5057,-5376,-5115,-5183,-5425,-5870,-5174,-5912,-3930,-6023,-5714,-2819,-4999,-6173,-5214,-3251,-3983,-5783,-5058,-4855,-5833,-5030,-5593,-5035,-5178,-5193,-5868,-5621,-5786,-5077,-5767,-4932,-5467,-5192,-5712,-5400,-5111,-6105,-4202,-5020,-4515
-5454,-6103,-6880,-6798,-6075,-6071,-6463,-6339,-4668,-5100,-6866,-5245,-5873,-3755,-5415,-6461,-5854,-6857,-4207,-6402,-6202,-5188,-5344,-5033,-5000,-5574,-6351,-3193,-4526,-6293,-6816,-4031,-6081,-6312,-5989,-6212,-6569,-6626,-6718,-3571,-7094,-6989,-2519,-5619,-7052,-5668,-5870,-5232,-6602,-6341,-5255,-6938,-5764,-6512,-4855,-6124,-6655,-7010,-6515,-5872,-5780,-6099,-4907,-5963,-6235,-6709,-6452,-5520,-6629,-5635,-5172,-3597
-5021,-6788,-8196,-7911,-6870,-7487,-7229,-7706,-4977,-5922,-7580,-6234,-5345,-3893,-6550,-7389,-6663,-8065,-4252,-7487,-6469,-6497,-4642,-5390,-4624,-6056,-7759,-4095,-6520,-7177,-8178,-5779,-7376,-7547,-6818,-7393,-7395,-7863,-7592,-5414,-8152,-8092,-3734,-6848,-7281,-7216,-5845,-5226,-7764,-6982,-6148,-7766,-7027,-7509,-5806,-7437,-7385,-7514,-7217,-7397,-6552,-7647,-5645,-6411,-6560,-7163,-8041,-6312,-7990,-6142,-6712,-5186
-5877,-6412,-7070,-7094,-5311,-6633,-6115,-6819,-4783,-5213,-7110,-5305,-5386,-3983,-6217,-6562,-4608,-7332,-3442,-6754,-5811,-5841,-4678,-4785,-4823,-6790,-5664,-3716,-5488,-5677,-7146,-5708,-5948,-6690,-6200,-6439,-6267,-6528,-6607,-4736,-7146,-7111,-4137,-5912,-7166,-6263,-4843,-4166,-6998,-6454,-5266,-7017,-5362,-7171,-5497,-6181,-6747,-6650,-6931,-6532,-6164,-6775,-5670,-5762,-5327,-6959,-7162,-5057,-7153,-4731,-5833,-5448
-5076,-6764,-7782,-7849,-6055,-7361,-7168,-7940,-5324,-5997,-7942,-5854,-5846,-3635,-6485,-7768,-6411,-7861,-2661,-6756,-6882,-6687,-3708,-4640,-4705,-6641,-6454,-3304,-5785,-6731,-7377,-5394,-6934,-7285,-6502,-7555,-7100,-7864,-7972,-5338,-7988,-7884,-3217,-6518,-7859,-7660,-5064,-3837,-7856,-7642,-6709,-7881,-5866,-7140,-5523,-6958,-7525,-7870,-7761,-7120,-7002,-6807,-6437,-6614,-6572,-8108,-7519,-5419,-7846,-5756,-6535,-5336
-6419,-7645,-8292,-7776,-6015,-7762,-8058,-7975,-4817,-5573,-8572,-7038,-7435,-4450,-5407,-7793,-6910,-8419,-4642,-6573,-7347,-5391,-5936,-6781,-6197,-7787,-7217,-3827,-5946,-6816,-8082,-6492,-6904,-7623,-7621,-7269,-6895,-7264,-8045,-5528,-8381,-7851,-4176,-6932,-8405,-7029,-5522,-6108,-8273,-6613,-6768,-8177,-7305,-8156,-6193,-7738,-6965,-8250,-8244,-7316,-7009,-6668,-6085,-7540,-7302,-7575,-7616,-5602,-8490,-6646,-6423,-5972
-6336,-7776,-8517,-8356,-7342,-8337,-7953,-8599,-5589,-6456,-8746,-6604,-6471,-5207,-6945,-7991,-7058,-8539,-4568,-7792,-7492,-5777,-6012,-5980,-5991,-7774,-7871,-5129,-6523,-8198,-8069,-6614,-6394,-8187,-7479,-8368,-7444,-8679,-8000,-3698,-8700,-8703,-3454,-7162,-7960,-6788,-5557,-6206,-8504,-8307,-7573,-8439,-7214,-7691,-6011,-6968,-8152,-8284,-8442,-7772,-7446,-7616,-5444,-7943,-7377,-8143,-8143,-6506,-8531,-5379,-7117,-4430
-5061,-4545,-6431,-6144,-5487,-6165,-5941,-5947,-2553,-4576,-5875,-4457,-4605,-3217,-3924,-5855,-5219,-6189,-3582,-5500,-5312,-4170,-4064,-3527,-3768,-5486,-5913,-2376,-4709,-5948,-6152,-5172,-5519,-5859,-5016,-5704,-6237,-5789,-6236,-4569,-6241,-6224,-3531,-5608,-5891,-5825,-4784,-4491,-6055,-5479,-5294,-6217,-5359,-5835,-4184,-5902,-5421,-6221,-6087,-6021,-5429,-5927,-5113,-5574,-5466,-6420,-5835,-5243,-5828,-5446,-5242,-3746
-5171,-5907,-7341,-7298,-6034,-6804,-7220,-7155,-3022,-5396,-6787,-4783,-5154,-3694,-5245,-6805,-6120,-7242,-3663,-6317,-6426,-5621,-4500,-4203,-4099,-5981,-6733,-2069,-5751,-6550,-7267,-5600,-6700,-6347,-5871,-6399,-6626,-6511,-6488,-4319,-7298,-7447,-3840,-6112,-6552,-6209,-5580,-5848,-7338,-6392,-5803,-7252,-6615,-6484,-5107,-6551,-6119,-6955,-6745,-6373,-6082,-6596,-5809,-6371,-6097,-6567,-7024,-5452,-6230,-5930,-5835,-4751
