0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
-5384,-5594,-5224,-4473,-2673,-4349,-5526,-5188,-3761,-4019,-3855,-3951,-5354,-4538,-4555,-5540,-4333,-5295,-5427,-5125,-4944,-3944,-4345,-5174,-4512,-5100,-5193,-5499,-5003,-5074,-3650,-4891,-5294,-5240,-5179,-2443,-5583,-4766,-4412,-4960,-4522,-4700,-4936,-4865,-5084,-4690,-4576,-5092,-3550,-3918,-5278,-4873,-4030,-3607,-5196,-3512,-5635,-4154,-4985,-4477,-5050,-5482,-5159,-4972,-2455,-4891,-5389,-4471,-5198,-3318,-2099,-3228,-5033,-5363,-5731,-4984,-4415,-4741,-4837,-5598,-5272
-4061,-4249,-3670,-3338,-2156,-3885,-4158,-4223,-3121,-3185,-3030,-2749,-4188,-3411,-4107,-4246,-3501,-4021,-4209,-3845,-3789,-2707,-4051,-4223,-3938,-3684,-3990,-4220,-3923,-3928,-2868,-3751,-4277,-3931,-4196,-2709,-4538,-3155,-4148,-3861,-3643,-3887,-3504,-3817,-3880,-3299,-3635,-3740,-2750,-2626,-3945,-3749,-2812,-2796,-3943,-3203,-4273,-3548,-3724,-3421,-3990,-4464,-3890,-3825,-920,-4090,-4221,-3332,-3614,-1352,-1422,-1750,-4086,-4097,-4491,-3867,-3358,-3653,-3978,-4486,-3953
-4015,-4433,-4024,-3541,-2394,-3501,-4466,-4357,-2951,-3516,-3451,-2455,-4275,-3646,-4048,-4333,-3705,-3815,-4177,-3880,-4033,-2784,-3839,-4291,-3683,-3313,-4118,-3815,-4038,-4346,-3236,-4011,-4109,-4293,-4008,-3175,-4397,-3765,-3953,-3937,-3696,-3583,-3673,-3797,-3946,-3103,-3229,-3512,-3319,-3565,-3820,-3665,-3326,-2694,-3983,-3343,-4287,-3234,-3314,-3484,-4189,-4092,-3846,-4095,-2028,-3597,-4336,-3580,-3840,-1297,-2194,-1833,-4062,-4241,-4572,-4045,-3158,-3616,-3845,-4470,-3834
-4048,-4064,-3968,-3155,-1624,-3772,-3561,-3859,-3158,-3004,-2926,-2477,-3992,-3106,-3831,-4027,-3266,-3949,-4256,-3965,-3613,-2989,-3488,-4187,-3513,-3674,-3834,-3872,-3915,-3759,-2649,-3606,-3675,-3671,-3668,-2475,-4079,-3596,-3772,-3485,-3276,-3293,-3511,-3540,-3842,-2702,-3551,-3294,-2486,-3136,-3978,-3543,-2743,-2391,-3701,-2871,-4131,-3174,-3473,-3611,-3652,-3975,-3822,-3619,-1599,-3604,-3868,-3472,-3986,-1421,-1041,-1656,-3694,-4244,-4182,-4006,-3284,-3904,-3520,-4029,-3555
-4291,-4670,-4239,-3344,-2482,-3762,-4489,-4577,-3291,-3383,-3623,-2948,-4420,-3714,-4421,-4471,-3496,-4251,-4760,-4358,-4275,-3097,-4260,-4725,-4260,-3614,-4546,-4440,-4184,-4393,-3240,-4163,-4453,-4450,-4284,-3035,-4651,-4037,-4178,-4025,-4171,-3631,-3843,-3987,-3989,-3869,-3913,-4203,-3376,-3463,-4382,-3881,-3351,-2882,-4289,-3692,-4522,-4102,-3876,-3944,-4373,-4650,-4238,-4119,-1991,-3972,-4899,-3678,-3709,-2162,-2225,-2543,-4142,-4332,-4621,-4366,-3731,-3571,-3971,-4592,-3941
-5509,-5984,-5528,-3639,-3595,-5103,-5809,-6116,-3435,-4022,-4895,-3985,-5801,-4699,-5723,-5738,-4913,-5535,-5915,-5515,-5590,-3740,-5504,-5959,-5489,-4094,-5420,-4973,-5455,-5391,-4323,-5085,-5483,-5592,-5354,-3795,-5699,-5141,-5421,-4914,-4596,-4697,-4946,-5209,-5505,-4832,-5038,-4981,-4059,-3758,-5391,-4756,-4593,-3395,-5061,-4484,-5814,-5142,-4540,-5202,-5267,-5573,-5071,-5477,-2126,-5184,-6029,-5199,-5245,-3136,-2669,-2678,-5493,-5916,-5920,-5615,-4686,-5034,-4848,-6010,-5156
-4419,-4848,-4123,-3310,-2216,-4224,-4430,-4578,-3613,-3232,-3622,-3226,-4731,-3303,-4372,-4585,-3432,-3489,-4558,-4196,-4394,-3334,-4175,-4621,-3647,-3691,-4678,-4599,-4210,-3830,-3021,-4056,-3915,-4484,-4332,-2737,-4503,-3828,-4570,-3859,-3906,-3832,-4074,-3730,-4463,-3718,-3397,-4199,-3351,-3068,-4697,-4131,-2864,-2535,-4190,-3333,-4474,-3817,-3811,-3789,-4366,-4803,-4469,-4224,-1707,-3557,-4531,-3759,-4240,-1587,-1546,-2307,-4307,-4520,-4544,-4041,-3398,-3945,-4040,-4527,-4559
-5434,-5844,-5002,-3928,-3176,-5144,-5418,-5734,-3621,-4629,-4767,-3072,-5659,-4284,-5064,-5794,-4217,-5386,-5397,-5462,-4907,-4096,-5163,-5632,-4547,-4264,-5002,-5653,-5508,-5272,-4011,-4511,-5465,-5679,-5517,-4390,-5694,-4804,-5305,-5231,-4354,-4808,-4967,-4857,-5644,-3973,-4229,-4569,-3923,-3659,-5753,-4974,-4269,-3982,-5017,-3456,-5509,-4527,-5055,-4542,-5654,-5819,-5086,-4681,-2009,-5160,-5854,-4773,-5028,-1998,-2333,-2606,-5380,-5570,-5709,-5141,-4314,-4960,-5095,-5501,-5279
-3907,-4021,-3764,-2743,-1454,-3308,-4092,-3844,-2843,-3090,-2799,-2039,-4020,-2782,-4096,-3955,-3234,-4034,-4114,-3925,-3804,-3152,-3659,-4251,-3776,-3165,-4019,-3916,-3485,-3734,-2847,-3235,-3890,-4174,-3908,-2879,-4111,-3044,-3770,-3616,-3700,-3110,-3627,-3406,-4073,-2911,-3150,-3470,-2655,-2926,-3674,-3516,-2286,-2294,-3875,-2956,-4192,-3333,-3514,-3387,-3840,-4245,-3847,-3469,-1275,-3868,-4215,-3219,-3674,-1546,-1701,-1267,-3990,-4146,-4093,-3618,-2933,-3269,-3192,-4035,-3690
-6245,-6556,-5869,-4186,-3241,-5278,-6579,-6564,-4347,-4458,-5354,-4143,-6049,-5079,-6537,-6284,-5055,-5712,-6683,-6082,-5355,-4446,-5921,-6426,-5858,-4434,-6364,-5796,-5899,-5999,-4842,-5669,-6778,-6409,-5919,-4356,-6539,-5579,-6106,-5361,-6144,-4676,-5573,-5104,-6620,-5171,-4980,-5814,-4297,-4248,-6395,-5466,-4593,-4556,-5932,-4953,-6568,-5629,-5509,-4851,-5805,-6686,-5716,-6007,-3210,-5549,-6634,-5018,-5896,-2898,-2919,-3435,-6475,-6526,-6613,-5866,-4230,-5327,-5893,-6523,-5570
