0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
-693,-1734,-1853,-725,-1908,-1352,-1778,-1622,-2008,-1497,-1741,-712,-1529,-1776,-1536,-1782,-2047,-735,-2031,-1278,-2076,-1441,-1789,-2105,-2145,-1436,-1430,-1954,-2149,-1158,-774,-1256,-1871,-2057,-1371,-2109,-1239,-1858,-1846,-2119,-2073,-1194,-1730,-1653,-1714,-2243,-1566,-2101,-2044,-1462,-1634,-1276,-1784,-1132,-1328,-1280,-2057,-1752,-2070,-2174,-1556,-1799,-1796,-1243,-1340,-2000,-1687,-1879,-1638,-2225,-491,-1484,-1686,-2075,-1452,-1997,-2038,-1671,-1819,-1519,-1829,-910,-1735,-1453,-2085,-1730,-2052,-515,-1628,-2066
-1145,-2058,-1534,-562,-1732,-1645,-1683,-1751,-1741,-1412,-1732,-865,-1843,-1455,-1459,-1632,-1964,-1001,-2080,-1727,-1880,-1673,-1681,-2123,-1945,-1181,-1250,-1997,-2067,-1011,-882,-1389,-1605,-1890,-1313,-2101,-1521,-1801,-1689,-1885,-2276,-1176,-1967,-1581,-1648,-2219,-1695,-1958,-1775,-1598,-1514,-965,-1644,-1302,-1583,-1475,-2049,-1425,-1980,-2035,-1370,-1921,-1874,-1280,-1571,-2043,-1851,-1859,-1966,-2087,-367,-1462,-1885,-1973,-1348,-2102,-2163,-1961,-1896,-1350,-1726,-905,-1770,-1681,-1976,-1759,-1973,-1191,-1523,-2094
-714,-1844,-1688,-704,-1934,-1870,-1401,-1628,-1943,-1070,-1941,-432,-1664,-1665,-1599,-1723,-1944,-1113,-2051,-1332,-1754,-1500,-1893,-2070,-2050,-1675,-1353,-2142,-2095,-1323,-697,-1038,-2040,-1854,-1377,-2176,-1460,-1773,-1860,-2206,-2061,-1344,-2037,-1879,-1746,-2040,-2031,-1978,-2004,-1821,-1855,-939,-1963,-1215,-1527,-1512,-1998,-1779,-2060,-1942,-1818,-1934,-2176,-1411,-1521,-2174,-1998,-1984,-1708,-2087,-627,-1264,-1994,-1848,-1661,-2172,-2052,-1729,-2130,-1321,-1780,-760,-1626,-1231,-1950,-1537,-1766,-813,-1840,-2181
-862,-1772,-1724,-275,-1878,-1726,-1630,-1836,-1891,-1182,-1619,-554,-1991,-1401,-1721,-2041,-2059,-620,-2123,-1503,-2083,-1108,-1706,-2067,-2114,-1392,-1358,-2078,-2144,-1047,-600,-1696,-1938,-1964,-1479,-2164,-1621,-1888,-1651,-2179,-2202,-1379,-2018,-1568,-1654,-1984,-1709,-2017,-2003,-1549,-1751,-1242,-2050,-967,-1368,-1434,-2099,-1679,-1929,-2138,-1635,-1938,-2097,-1123,-1690,-2059,-1938,-1923,-1766,-2227,-635,-1392,-1712,-2019,-1366,-2032,-2156,-1466,-2213,-1283,-1671,-831,-1477,-1428,-1921,-1810,-1851,-967,-1656,-2123
-558,-1915,-2124,-275,-1789,-1410,-2033,-2067,-1878,-1511,-1767,-394,-1850,-1672,-1459,-1772,-2162,-807,-1980,-1436,-1998,-1604,-1944,-2075,-2267,-1521,-1275,-2349,-2105,-1174,-217,-959,-1996,-2059,-1689,-2246,-1422,-1763,-1677,-2096,-2135,-1468,-2229,-1818,-2153,-2160,-1880,-2236,-1987,-1967,-2291,-1224,-2007,-1199,-1531,-1477,-2151,-1931,-2101,-2040,-1751,-1853,-2118,-980,-1722,-2197,-1895,-1879,-1900,-2157,-330,-1516,-1873,-1931,-1642,-1979,-1959,-1870,-2224,-1617,-1874,-769,-1764,-1600,-2035,-1727,-2087,-937,-1887,-2384
-486,-1941,-1699,-660,-1959,-1361,-1973,-1833,-2080,-1189,-1861,-726,-1991,-1769,-1664,-1777,-2013,-1272,-2038,-1381,-1698,-1512,-1893,-1986,-2022,-1468,-1417,-2136,-2059,-1280,-482,-1641,-1657,-1999,-1494,-2300,-1208,-1822,-1821,-2058,-2120,-1486,-2152,-1930,-1603,-2083,-1680,-2093,-1935,-1811,-1759,-1104,-1844,-1098,-1511,-1625,-2062,-1819,-2015,-2159,-1551,-2152,-2051,-1349,-1577,-2081,-2274,-2057,-1925,-2142,-983,-1260,-1953,-2134,-2030,-2164,-2119,-1707,-2156,-1302,-1693,-1162,-1792,-1425,-2238,-1619,-2011,-875,-1712,-2292
-323,-1941,-2224,-570,-1857,-1588,-1738,-1735,-1882,-1670,-1907,-702,-1793,-1487,-1568,-1804,-2263,-949,-2253,-1381,-2024,-1705,-1872,-2298,-2268,-1545,-1524,-2176,-2104,-1101,-616,-1445,-1878,-2048,-1647,-2173,-1333,-1808,-1697,-2060,-1834,-1246,-1753,-1923,-1928,-2242,-1817,-2185,-2122,-1824,-1862,-1201,-1986,-1074,-1701,-1451,-2180,-1760,-2241,-2140,-1708,-2118,-2110,-1339,-1420,-2108,-2020,-1885,-1907,-2166,-691,-1266,-1769,-2204,-1878,-2382,-2139,-1446,-2110,-1423,-1987,-1295,-1801,-1475,-2048,-1839,-1889,-867,-1627,-2373
-752,-1756,-1972,-666,-1955,-1451,-1506,-1759,-1755,-1482,-1960,-361,-1793,-1474,-1702,-1924,-2084,-931,-1813,-1309,-1872,-1281,-1752,-1888,-2035,-1462,-1329,-2078,-2112,-1365,-631,-1282,-1921,-1932,-1454,-2288,-1006,-1774,-1769,-2158,-2025,-1310,-1922,-1731,-1957,-2197,-1765,-2091,-1814,-1424,-1916,-1098,-1809,-1113,-1641,-1408,-2052,-1716,-1911,-2334,-1866,-1964,-2170,-1180,-1325,-2007,-1914,-2266,-1722,-2132,-387,-1439,-1819,-2014,-1736,-2227,-2043,-1713,-2168,-1462,-1809,-1013,-1619,-1361,-1845,-1636,-1934,-636,-1793,-2076
-859,-2115,-1870,-467,-1795,-1779,-1720,-1998,-1917,-1357,-1608,-560,-1633,-1766,-1441,-1703,-1999,-1254,-1969,-1476,-1960,-1679,-1749,-2009,-2090,-1541,-1883,-2106,-2014,-1193,-782,-1304,-2012,-2079,-1788,-2113,-1162,-1858,-1589,-2062,-2186,-1349,-2163,-1765,-1915,-2426,-1873,-1974,-2228,-1689,-2036,-1139,-1779,-1093,-1643,-1622,-2232,-1627,-2228,-2223,-1572,-1799,-2108,-999,-1560,-2320,-1753,-2235,-1826,-2204,-531,-1389,-1846,-2052,-1514,-2047,-2148,-1720,-2231,-1524,-1703,-751,-1578,-1445,-2049,-1763,-1873,-714,-1823,-2106
-571,-1930,-1769,-590,-1816,-1442,-1737,-2013,-2149,-1358,-1986,-499,-1817,-1508,-1662,-1899,-2029,-752,-2049,-1294,-1870,-1410,-1853,-2107,-2096,-1374,-1060,-2124,-2092,-1186,-240,-1110,-2097,-1887,-1474,-2132,-1319,-1905,-1628,-2028,-2000,-1627,-2242,-1697,-1825,-2046,-1881,-2155,-1881,-1824,-2025,-987,-1729,-1227,-1660,-1660,-1857,-1806,-2170,-2143,-1849,-1882,-2077,-1163,-1599,-2082,-1777,-1867,-1645,-2219,-523,-1745,-1892,-1935,-1618,-2003,-1943,-1878,-1797,-1555,-1658,-1120,-1578,-1476,-2050,-1455,-2008,-979,-1466,-2278
