episode,episode_rewards,max_obj,suc_datas
0,1,179,10
1,5,242,50
2,13,265,146
3,10,216,118
4,6,224,68
5,4,213,42
6,6,233,66
7,6,221,68
8,5,231,54
9,4,223,40
10,5,243,52
11,4,211,48
12,3,204,30
13,7,225,78
14,6,216,60
15,6,206,60
16,6,256,62
17,5,234,50
18,7,214,70
19,8,203,86
20,7,233,70
21,9,238,96
22,6,247,62
23,5,227,60
24,7,225,74
25,2,193,26
26,9,248,98
27,5,222,54
28,1,181,10
29,5,265,52
30,4,228,48
31,1,221,12
32,7,222,70
33,9,237,98
34,10,265,112
35,5,208,58
36,9,261,98
37,12,198,130
38,5,222,58
39,7,231,80
40,2,220,20
41,1,165,10
42,9,241,98
43,4,205,40
44,3,228,32
45,6,244,62
46,7,227,76
47,7,240,78
48,8,230,92
49,4,236,44
50,8,267,82
51,4,219,40
52,1,218,10
53,7,247,76
54,8,239,86
55,7,253,78
56,8,246,88
57,6,227,62
58,7,223,76
59,7,206,74
60,6,220,60
61,5,245,50
62,8,234,92
63,7,238,70
64,6,247,66
65,9,242,96
66,5,220,70
67,6,243,64
68,1,195,10
69,3,258,36
70,8,234,92
71,5,216,60
72,5,205,58
73,10,221,116
74,7,243,80
75,9,245,108
76,8,220,90
77,7,204,74
78,7,240,78
79,6,239,78
80,6,243,66
81,7,209,70
82,8,222,90
83,8,202,84
84,10,236,110
85,8,255,86
86,2,200,20
87,1,211,10
88,6,233,64
89,10,226,116
90,10,240,110
91,7,252,72
92,5,217,50
93,4,227,48
94,6,200,64
95,4,201,44
96,10,208,108
97,7,211,90
98,9,211,102
99,4,213,42
100,8,227,84
101,8,243,88
102,7,237,90
103,4,192,48
104,10,234,110
105,5,235,54
106,5,223,50
107,0,213,0
108,6,198,70
109,3,208,36
110,2,253,24
111,6,236,66
112,4,247,40
113,8,260,86
114,8,225,84
115,3,198,36
116,3,200,32
117,4,221,40
118,3,195,30
119,6,240,72
120,5,253,50
121,0,188,0
122,7,243,78
123,6,221,66
124,2,204,22
125,6,244,66
126,3,231,30
127,3,189,42
128,5,204,62
129,3,240,30
130,4,240,42
131,3,187,30
132,7,260,72
133,4,236,40
134,1,204,10
135,9,244,102
136,8,244,82
137,5,213,60
138,7,232,86
139,10,259,108
140,9,254,116
141,9,246,114
142,12,281,140
143,5,231,62
144,6,211,62
145,10,283,116
146,8,288,102
147,13,283,150
148,6,229,68
149,9,273,106
150,8,246,100
151,9,268,116
152,8,257,112
153,1,206,12
154,10,253,128
155,6,201,72
156,7,232,78
157,8,266,94
158,7,265,90
159,13,254,150
160,5,252,50
161,7,253,78
162,7,235,90
163,7,243,90
164,7,265,84
165,8,256,94
166,10,269,114
167,10,265,108
168,6,259,84
169,7,282,74
170,10,260,114
171,6,238,66
172,14,263,160
173,9,271,104
174,6,228,64
175,6,227,74
176,5,219,64
177,7,238,90
178,6,262,68
179,5,227,62
180,6,262,78
181,8,228,100
182,10,267,116
183,9,256,116
184,4,247,42
185,3,220,36
186,2,205,20
187,2,230,20
188,2,241,32
189,4,210,64
190,4,246,40
191,3,250,48
192,6,240,74
193,5,230,56
194,5,249,50
195,3,247,48
196,4,229,52
197,3,246,48
198,5,261,54
199,9,303,98
200,4,250,48
201,7,288,104
202,4,284,40
203,2,262,20
204,1,265,10
205,7,265,90
206,2,201,20
207,6,256,66
208,5,249,72
209,9,300,116
210,2,266,22
211,7,279,78
212,10,235,116
213,7,274,90
214,5,267,52
215,4,270,46
216,4,248,46
217,3,229,48
218,2,277,20
219,6,269,76
220,3,237,30
221,6,249,72
222,6,239,78
223,4,244,46
224,5,283,72
225,3,257,30
226,4,262,64
227,4,258,64
228,5,266,50
229,3,209,48
230,2,174,20
231,2,191,32
232,3,220,48
233,4,210,46
234,3,251,48
235,9,250,116
236,6,297,84
237,7,245,84
238,9,277,116
239,9,265,116
240,6,283,84
241,6,233,76
242,4,228,52
243,3,223,48
244,1,252,12
245,12,260,138
246,9,238,116
247,5,253,64
248,10,261,128
249,11,256,140
250,4,262,40
251,6,237,72
252,8,243,98
253,3,249,48
254,11,245,142
255,5,262,64
256,11,271,142
257,13,279,160
258,7,292,84
259,8,235,102
260,11,266,130
261,4,203,64
262,9,256,116
263,9,245,116
264,7,233,86
265,10,247,116
266,6,242,76
267,9,269,114
268,4,237,48
269,9,266,98
270,2,255,24
271,7,263,78
272,4,247,40
273,4,232,48
274,7,253,76
275,5,212,60
276,8,218,92
277,7,217,86
278,9,263,116
279,9,260,116
280,5,235,58
281,5,219,60
282,3,249,36
283,6,260,70
284,9,242,106
285,6,249,70
286,2,259,26
287,5,269,66
288,3,261,48
289,4,254,50
290,3,247,40
291,3,243,48
292,2,256,30
293,4,242,52
294,2,247,26
295,6,278,92
296,6,221,68
297,7,238,86
298,3,206,60
299,2,284,20
300,2,257,20
301,3,295,40
302,8,339,102
303,8,274,102
304,7,308,90
305,8,245,112
306,9,262,116
307,8,255,112
308,8,274,112
309,9,294,116
310,8,337,112
311,6,315,76
312,9,309,116
313,12,268,140
314,7,281,100
315,9,270,116
316,9,267,116
317,9,270,112
318,9,258,116
319,9,253,116
320,8,250,112
321,10,236,128
322,7,252,90
323,11,245,142
324,8,216,100
325,9,264,116
326,11,251,142
327,7,243,90
328,8,209,100
329,8,247,102
330,9,253,116
331,8,246,102
332,2,219,32
333,4,202,64
334,3,209,48
335,4,222,64
336,4,228,64
337,4,216,64
338,3,218,48
339,4,214,64
340,3,196,48
341,4,201,64
342,4,206,64
343,4,188,64
344,3,202,56
345,4,202,64
346,4,202,64
347,4,207,64
348,6,242,78
349,3,216,48
350,3,230,40
351,3,205,48
352,4,176,64
353,4,176,64
354,3,197,48
355,3,195,48
356,2,194,20
357,2,185,20
358,2,179,20
359,2,183,20
360,3,196,30
361,2,184,20
362,2,192,20
363,9,253,116
364,9,235,116
365,5,205,60
366,4,219,48
367,5,216,60
368,5,216,60
369,8,235,88
370,7,206,82
371,6,188,72
372,6,194,72
373,5,206,60
374,4,216,48
375,5,191,60
376,6,179,72
377,7,181,86
378,9,224,118
379,10,235,130
380,10,234,130
381,10,234,130
382,6,217,74
383,6,215,74
384,3,241,36
385,6,218,74
386,7,253,88
387,9,268,116
388,9,266,118
389,7,229,86
390,6,212,72
391,6,215,72
392,5,244,60
393,6,239,72
394,6,247,72
395,6,241,72
396,6,243,72
397,6,231,72
398,3,199,42
399,3,147,42
400,3,195,42
401,3,227,42
402,4,221,56
403,4,233,64
404,4,231,64
405,4,227,64
406,4,225,64
407,4,230,64
408,4,221,64
409,4,221,64
410,5,216,80
411,5,216,80
412,4,227,64
413,6,250,72
414,6,254,72
415,6,250,72
416,6,247,72
417,6,250,72
418,6,253,72
419,6,244,72
420,6,250,72
421,6,186,72
422,12,252,154
423,11,243,142
424,12,251,154
425,7,207,82
426,7,207,82
427,7,214,82
428,11,228,142
429,5,189,60
