episode,episode_rewards,max_obj,suc_datas
0,1,179,10
1,5,250,54
2,6,231,66
3,7,258,76
4,5,215,50
5,10,252,108
6,3,250,42
7,4,229,40
8,2,216,28
9,5,225,54
10,5,235,50
11,7,226,74
12,7,206,70
13,7,203,72
14,8,196,88
15,4,211,40
16,10,242,118
17,6,235,72
18,6,253,66
19,5,221,50
20,6,199,60
21,10,276,108
22,11,257,120
23,7,240,82
24,7,227,74
25,3,194,42
26,5,255,52
27,5,214,54
28,0,174,0
29,10,262,116
30,4,224,48
31,1,218,12
32,7,212,70
33,9,233,98
34,10,242,112
35,3,213,30
36,6,188,60
37,8,239,104
38,11,251,126
39,9,291,98
40,6,236,84
41,7,209,78
42,6,230,66
43,4,253,48
44,8,254,90
45,4,216,40
46,6,240,64
47,4,208,44
48,9,244,102
49,9,233,106
50,7,245,74
51,4,234,40
52,6,228,66
53,7,255,74
54,6,228,66
55,7,267,78
56,4,210,56
57,4,224,40
58,5,207,54
59,4,240,56
60,10,261,116
61,11,228,120
62,8,255,112
63,12,256,138
64,9,243,94
65,6,226,78
66,6,231,60
67,6,242,64
68,9,230,98
69,4,265,40
70,9,247,96
71,8,234,88
72,7,219,74
73,4,215,56
74,5,217,50
75,4,209,48
76,5,235,50
77,5,212,50
78,8,250,86
79,3,220,38
80,6,239,60
81,5,217,50
82,3,220,30
83,6,196,60
84,8,244,82
85,5,231,52
86,6,204,72
87,5,208,70
88,6,207,60
89,9,266,96
90,10,218,110
91,7,230,78
92,5,188,68
93,2,200,32
94,3,213,40
95,8,242,86
96,6,230,60
97,7,213,80
98,5,224,64
99,7,259,76
100,7,221,80
101,5,234,62
102,7,244,90
103,6,198,78
104,10,230,110
105,4,210,46
106,4,204,56
107,0,180,0
108,8,191,102
109,7,229,72
110,5,211,52
111,8,231,86
112,6,220,66
113,11,235,120
114,3,263,32
115,3,227,38
116,6,210,80
117,2,262,24
118,9,288,116
119,1,250,12
120,1,231,10
121,3,203,30
122,7,233,78
123,3,264,38
124,2,209,20
125,4,218,52
126,6,206,72
127,6,220,66
128,8,214,92
129,8,284,94
130,9,245,104
131,3,206,30
132,8,267,84
133,5,196,60
134,6,221,76
135,5,241,54
136,3,224,38
137,4,223,48
138,3,210,48
139,8,251,88
140,6,262,84
141,7,231,86
142,9,279,116
143,5,232,62
144,7,204,70
145,4,232,40
146,7,260,84
147,10,264,112
148,13,228,150
149,5,225,64
150,8,305,88
151,8,272,102
152,9,293,116
153,5,214,64
154,8,276,102
155,9,259,102
156,13,276,150
157,7,278,90
158,9,267,104
159,5,227,64
160,5,267,64
161,7,267,86
162,5,221,62
163,6,225,76
164,7,241,76
165,12,261,134
166,8,249,88
167,6,226,66
168,5,245,58
169,6,248,72
170,7,276,76
171,7,255,82
172,3,231,36
173,5,270,56
174,7,262,78
175,9,239,114
176,4,237,40
177,2,256,32
178,5,274,56
179,0,240,0
180,4,240,40
181,7,266,80
182,4,244,42
183,5,213,64
184,9,234,102
185,2,214,32
186,1,244,12
187,3,243,48
188,6,238,76
189,8,240,100
190,7,238,74
191,4,276,48
192,3,246,36
193,5,234,56
194,3,249,30
195,5,252,72
196,10,207,110
197,8,241,94
198,5,241,60
199,8,255,102
200,5,262,60
201,7,285,104
202,5,260,60
203,7,282,78
204,7,273,90
205,12,245,144
206,8,234,102
207,8,241,100
208,11,218,122
209,8,255,94
210,13,237,152
211,7,258,90
212,4,228,48
213,4,214,46
214,6,226,72
215,9,228,102
216,4,263,56
217,4,223,64
218,3,226,30
219,8,237,88
220,4,220,48
221,4,206,52
222,1,227,16
223,3,218,48
224,8,248,88
225,7,217,86
226,11,266,142
227,5,273,58
228,7,253,76
229,7,246,88
230,7,230,84
231,7,232,86
232,9,272,116
233,5,258,64
234,2,220,26
235,7,271,86
236,9,237,116
237,9,246,116
238,10,237,128
239,7,264,90
240,14,273,166
241,7,247,88
242,6,215,78
243,7,254,82
244,8,227,98
245,6,209,84
246,6,204,72
247,2,233,26
248,6,254,66
249,9,255,116
250,11,228,124
251,4,246,40
252,7,232,78
253,6,247,74
254,7,223,90
255,12,255,140
256,10,249,128
257,9,210,116
258,9,240,114
259,9,204,114
260,14,234,166
261,9,263,116
262,6,174,72
263,8,259,102
264,9,233,114
265,10,225,128
266,7,235,90
267,11,232,142
268,7,228,88
269,9,229,114
270,9,233,114
271,9,240,116
272,6,218,76
273,9,221,116
274,10,223,128
275,10,220,128
276,9,234,114
277,6,229,84
278,6,225,64
279,4,264,60
280,7,254,76
281,7,257,80
282,9,272,104
283,4,219,48
284,3,226,36
285,2,261,22
286,3,266,36
287,4,257,48
288,5,249,54
289,6,223,72
290,2,270,24
291,7,206,84
292,13,227,154
293,7,213,82
294,9,202,104
295,6,193,72
296,7,211,86
297,7,205,84
298,10,207,114
299,10,201,126
300,7,217,86
301,9,204,112
302,6,193,72
303,8,164,96
304,6,187,72
305,8,155,96
306,5,191,60
307,9,216,112
308,6,201,72
309,7,151,84
310,7,164,84
311,6,158,72
312,7,153,84
313,11,190,120
314,9,146,104
315,7,167,84
316,7,144,84
317,8,164,98
318,9,200,114
319,8,195,98
320,7,202,86
321,9,193,112
