episode,episode_rewards,max_obj,suc_datas
0,6,1210,64
1,7,1119,74
2,7,1130,70
3,7,1152,70
4,5,1203,58
5,4,1177,56
6,5,1125,50
7,11,1182,120
8,7,1162,70
9,7,1155,80
10,7,1198,82
11,4,1242,56
12,4,1184,48
13,6,1143,60
14,12,1096,136
15,10,1177,118
16,10,1210,106
17,12,1247,132
18,5,1157,64
19,8,1144,80
20,7,1230,74
21,9,1072,104
22,12,1097,130
23,6,1155,60
24,5,1139,62
25,5,1137,50
26,7,1157,78
27,6,1176,60
28,9,1182,100
29,9,1230,90
30,5,1258,54
31,5,1208,70
32,10,1143,114
33,6,1175,60
34,8,1251,82
35,4,1170,56
36,6,1125,72
37,9,1138,98
38,10,1123,112
39,10,1043,110
40,6,1135,72
41,5,1155,52
42,4,1195,40
43,9,1261,108
44,6,1026,60
45,8,1077,92
46,11,1218,126
47,3,1189,42
48,6,1312,64
49,9,1138,90
50,5,1207,52
51,6,1147,64
52,6,1142,60
53,7,1147,70
54,5,1129,54
55,6,1201,60
56,12,1222,148
57,15,1200,170
58,14,1196,158
59,3,1244,30
60,4,1174,40
61,5,1238,58
62,8,1195,80
63,5,1152,50
64,7,1123,76
65,9,1253,92
66,7,1212,78
67,10,1288,100
68,8,1150,90
69,4,1152,52
70,9,1200,108
71,9,1173,98
72,9,1319,108
73,9,1244,92
74,3,1191,30
75,13,1261,150
76,14,1163,152
77,5,1213,50
78,10,1197,100
79,4,1164,46
80,13,1221,156
81,14,1275,166
82,6,1157,60
83,9,1159,90
84,6,1219,72
85,9,1190,108
86,9,1174,102
87,9,1157,102
88,5,1193,50
89,7,1165,74
90,12,1260,128
91,6,1136,60
92,4,1147,48
93,5,1095,62
94,7,1080,82
95,4,1155,50
96,5,1159,66
97,3,1049,32
98,10,1187,118
99,4,1098,48
100,14,1149,168
101,9,1137,120
102,9,1207,110
103,17,1249,212
104,5,1142,54
105,11,1123,126
106,17,1103,190
107,6,1142,70
108,7,1155,86
109,7,1171,86
110,4,1179,50
111,16,1134,200
112,8,1159,90
113,13,1182,148
114,10,1152,116
115,11,1052,130
116,8,1078,96
117,7,1115,82
118,8,1189,88
119,10,1124,100
120,13,1077,142
121,9,1190,92
122,7,1121,84
123,15,1223,176
124,21,1155,250
125,9,1250,90
126,12,1164,136
127,17,1282,198
128,8,1124,98
129,7,1166,84
130,15,1184,178
131,17,1057,210
132,11,1105,128
133,8,1138,80
134,11,1120,122
135,10,1171,114
136,14,1125,170
137,8,1137,94
138,6,1127,74
139,11,1292,122
140,12,1064,150
141,13,1151,158
142,7,1090,82
143,3,1092,36
144,13,1149,160
145,13,1195,148
146,10,1126,130
147,10,1101,116
148,9,1171,100
149,12,1202,140
150,9,1143,102
151,11,1107,130
152,10,1070,114
153,16,1096,188
154,22,1044,256
155,11,1159,128
156,15,1131,172
157,8,1136,92
158,8,1061,100
159,13,1223,140
160,14,1146,166
161,15,1142,170
162,13,1079,142
163,11,1217,128
164,9,1042,110
165,13,1130,152
166,15,1115,178
167,12,1058,146
168,13,1109,150
169,13,1178,152
170,8,1080,88
171,9,1066,100
172,11,1063,126
173,12,1129,136
174,12,1087,144
175,12,1063,144
176,15,1141,180
177,7,1200,70
178,9,1096,118
179,19,1184,216
180,14,1174,162
181,13,1195,158
182,14,1113,170
183,13,1130,150
184,13,1205,152
185,9,1187,104
186,13,1124,156
187,19,1148,228
188,10,1147,114
189,14,1132,170
190,11,1159,126
191,14,1167,170
192,12,1164,156
193,9,1064,126
194,11,1136,134
195,15,1117,176
196,10,1172,112
197,8,1165,92
198,19,1187,240
199,7,1098,80
200,13,1130,136
201,10,1146,126
202,18,1121,214
203,7,1128,90
204,18,1168,218
205,10,1020,118
206,7,1081,86
207,9,1120,122
208,10,1092,120
209,13,1132,160
210,7,1101,90
211,11,1023,132
212,5,997,64
213,9,1020,110
214,7,1081,98
215,8,1074,102
216,12,1098,162
217,2,1118,28
218,5,1157,62
219,8,1019,96
220,8,1026,90
221,5,1037,70
222,7,1117,88
223,8,1021,114
224,11,1023,132
225,5,1082,70
226,9,1023,108
227,6,1039,82
228,9,1091,122
229,3,990,36
230,10,1078,116
231,8,1086,112
232,12,1049,162
233,10,1122,138
234,6,934,76
235,3,874,38
236,7,988,98
237,5,942,66
238,8,974,96
239,2,842,22
240,3,937,42
241,2,907,28
242,4,960,54
243,5,920,68
244,3,928,36
245,4,925,42
246,11,1072,130
247,9,1096,108
248,3,1071,36
249,6,1085,68
250,5,1093,50
251,3,905,32
252,2,953,24
253,5,947,58
254,7,1063,70
255,5,1015,58
256,8,1010,88
257,8,1028,84
258,2,988,20
259,7,1075,76
260,8,1078,98
261,10,1101,146
262,14,1125,166
263,7,1084,74
264,13,1148,144
265,11,1134,126
266,8,1260,98
267,12,1075,138
268,6,1040,68
269,11,1003,132
270,8,1040,88
271,8,1070,94
272,7,1127,80
273,8,1043,96
274,10,1136,118
275,14,1119,156
276,13,1158,164
277,12,1064,136
278,14,1154,178
279,13,1177,170
280,9,1080,110
281,15,987,180
282,14,937,168
283,14,952,176
284,16,1000,182
285,15,1063,178
286,6,1102,72
287,14,951,176
288,18,1015,204
289,15,971,168
290,23,978,268
291,14,1039,170
292,15,1010,188
293,25,1071,282
294,10,1111,120
295,5,1025,60
296,12,1027,152
297,13,954,158
298,16,1029,204
299,13,1104,162
300,7,975,88
301,19,961,236
302,13,857,170
303,12,878,158
304,15,876,198
305,17,965,212
306,11,923,148
307,12,891,158
308,15,996,190
309,15,851,198
310,7,928,90
311,7,906,84
312,8,873,90
313,14,808,160
314,16,884,194
315,17,929,196
316,17,932,200
317,19,1042,226
318,17,1043,210
319,15,1007,198
320,17,1061,202
321,11,1079,130
322,8,894,112
323,8,864,112
324,7,828,98
325,7,888,98
326,8,941,106
327,10,898,130
328,14,965,178
329,8,890,102
330,11,936,126
331,12,987,158
332,11,979,142
333,8,853,102
334,20,980,242
335,13,919,166
336,12,752,152
337,17,872,220
338,16,949,188
339,17,937,204
340,22,961,294
341,15,948,182
342,17,966,222
343,16,959,192
344,11,967,130
345,18,963,222
346,12,1024,140
347,17,911,212
348,11,972,126
349,18,887,236
350,18,913,224
351,11,990,130
352,16,1086,188
353,17,971,218
354,19,1066,224
355,18,1039,230
356,16,957,214
357,15,1021,198
358,15,1010,208
359,16,1039,210
360,14,997,178
361,19,1017,244
362,18,1068,234
363,16,1014,210
364,19,1082,244
365,18,971,234
366,18,968,234
367,18,1019,234
368,18,1026,234
369,17,1023,222
370,20,997,246
371,17,1060,200
372,17,1090,222
373,17,1026,222
374,21,1055,258
375,22,1087,270
376,15,1108,194
377,14,1107,180
378,28,1064,328
379,20,1217,260
380,22,1277,266
381,26,1198,330
382,19,1118,234
383,21,1184,256
384,19,1119,234
385,13,1062,178
386,17,1072,196
387,15,1164,172
388,25,1256,278
389,15,1280,160
390,13,1193,144
391,16,1238,196
392,11,1200,138
393,11,992,128
394,14,1156,176
395,22,1142,266
396,19,967,226
397,19,984,226
398,18,998,206
399,19,979,226
400,22,1017,254
401,19,1107,216
402,23,1076,274
403,12,952,144
404,21,1109,258
405,20,1069,224
406,8,1119,98
407,13,1185,162
408,12,1109,132
409,11,996,130
410,8,979,92
411,11,940,128
412,15,1029,176
413,16,980,188
414,18,979,220
415,21,1093,252
416,13,982,146
