episode,episode_rewards,max_obj,suc_datas
0,67,1287,250
1,65,1247,252
2,64,1380,253
3,72,1336,262
4,65,1292,264
5,55,1226,243
6,66,1234,245
7,83,1278,309
8,67,1301,257
9,73,1339,281
10,84,1330,316
11,81,1256,296
12,52,1231,195
13,66,1239,271
14,56,1359,227
15,58,1136,222
16,68,1279,237
17,79,1277,276
18,51,1272,206
19,92,1384,363
20,62,1175,245
21,83,1315,308
22,81,1337,315
23,65,1287,233
24,79,1326,285
25,60,1393,259
26,87,1245,347
27,82,1344,313
28,55,1301,247
29,75,1249,279
30,85,1283,300
31,84,1322,282
32,82,1281,305
33,63,1240,259
34,50,1283,210
35,72,1270,261
36,52,1228,204
37,59,1245,231
38,84,1280,318
39,71,1272,259
40,99,1359,393
41,74,1313,293
42,65,1206,260
43,68,1324,273
44,72,1238,291
45,70,1286,291
46,72,1323,265
47,80,1252,277
48,65,1241,235
49,79,1336,312
50,71,1250,268
51,67,1278,270
52,61,1267,257
53,61,1226,255
54,81,1359,307
55,60,1186,240
56,92,1261,358
57,76,1312,279
58,66,1208,254
59,80,1331,298
60,81,1321,301
61,84,1181,300
62,60,1251,216
63,54,1274,214
64,75,1191,280
65,75,1352,275
66,67,1338,242
67,90,1340,324
68,74,1324,256
69,52,1301,228
70,63,1394,257
71,71,1295,269
72,63,1352,254
73,71,1285,272
74,49,1201,193
75,67,1243,260
76,75,1257,288
77,71,1263,275
78,84,1344,300
79,63,1305,246
80,89,1257,321
81,74,1283,292
82,84,1243,319
83,60,1258,215
84,75,1260,274
85,81,1380,310
86,86,1307,307
87,52,1322,194
88,111,1332,401
89,68,1408,247
90,51,1271,199
91,70,1408,260
92,66,1163,260
93,53,1297,188
94,62,1264,254
95,56,1294,231
96,70,1347,260
97,59,1329,252
98,80,1360,298
99,67,1386,275
100,69,1343,290
101,82,1410,324
102,55,1435,233
103,76,1277,283
104,77,1374,294
105,57,1467,235
106,89,1307,360
107,69,1341,242
108,87,1353,297
109,66,1355,260
110,79,1511,285
111,71,1398,278
112,70,1345,284
113,75,1413,287
114,104,1412,423
115,91,1459,363
116,86,1515,343
117,91,1442,352
118,80,1547,310
119,81,1429,311
120,85,1351,326
121,85,1507,342
122,81,1439,329
123,82,1494,330
124,74,1501,303
125,75,1515,297
126,82,1396,330
127,79,1522,317
128,74,1443,292
129,103,1353,394
130,104,1442,435
131,87,1448,353
